V ,leafValue( IS("/Q6/C") "N" 1 ) (A),leafValue( IS("/Q6/C") "N" 2 ) (A),leafValue( IS("/Q6/C") "N" 3 ) (A),leafValue( IS("/Q6/C") "N" 4 ) (A),leafValue( IS("/Q6/C") "N" 5 ) (A),leafValue( IS("/Q6/C") "N" 6 ) (A),leafValue( IS("/Q6/C") "N" 7 ) (A),leafValue( IS("/Q6/C") "N" 8 ) (A),leafValue( IS("/Q6/C") "N" 9 ) (A),leafValue( IS("/Q6/C") "N" 10 ) (A),leafValue( IS("/Q6/C") "N" 11 ) (A),leafValue( IS("/Q6/C") "N" 12 ) (A),leafValue( IS("/Q6/C") "N" 13 ) (A),leafValue( IS("/Q6/C") "N" 14 ) (A),leafValue( IS("/Q6/C") "N" 15 ) (A),leafValue( IS("/Q6/C") "N" 16 ) (A),leafValue( IS("/Q6/C") "N" 17 ) (A),leafValue( IS("/Q6/C") "N" 18 ) (A),leafValue( IS("/Q6/C") "N" 19 ) (A),leafValue( IS("/Q6/C") "N" 20 ) (A),leafValue( IS("/Q6/B") "N" 1 ) (A),leafValue( IS("/Q6/B") "N" 2 ) (A),leafValue( IS("/Q6/B") "N" 3 ) (A),leafValue( IS("/Q6/B") "N" 4 ) (A),leafValue( IS("/Q6/B") "N" 5 ) (A),leafValue( IS("/Q6/B") "N" 6 ) (A),leafValue( IS("/Q6/B") "N" 7 ) (A),leafValue( IS("/Q6/B") "N" 8 ) (A),leafValue( IS("/Q6/B") "N" 9 ) (A),leafValue( IS("/Q6/B") "N" 10 ) (A),leafValue( IS("/Q6/B") "N" 11 ) (A),leafValue( IS("/Q6/B") "N" 12 ) (A),leafValue( IS("/Q6/B") "N" 13 ) (A),leafValue( IS("/Q6/B") "N" 14 ) (A),leafValue( IS("/Q6/B") "N" 15 ) (A),leafValue( IS("/Q6/B") "N" 16 ) (A),leafValue( IS("/Q6/B") "N" 17 ) (A),leafValue( IS("/Q6/B") "N" 18 ) (A),leafValue( IS("/Q6/B") "N" 19 ) (A),leafValue( IS("/Q6/B") "N" 20 ) (A)
200.000E-3,10.5141E-15,21.0281E-15,31.5422E-15,42.0563E-15,52.5703E-15,63.0844E-15,73.5985E-15,84.1126E-15,94.6266E-15,105.141E-15,115.655E-15,126.169E-15,136.683E-15,147.197E-15,157.711E-15,168.225E-15,178.739E-15,189.253E-15,199.767E-15,210.281E-15,207.088E-15,214.175E-15,221.263E-15,228.350E-15,235.438E-15,242.526E-15,249.613E-15,256.701E-15,263.788E-15,270.876E-15,277.964E-15,285.051E-15,292.139E-15,299.226E-15,306.314E-15,313.401E-15,320.489E-15,327.577E-15,334.664E-15,341.752E-15
220.000E-3,22.2813E-15,44.5626E-15,66.8439E-15,89.1252E-15,111.406E-15,133.688E-15,155.969E-15,178.250E-15,200.532E-15,222.813E-15,245.094E-15,267.376E-15,289.657E-15,311.938E-15,334.219E-15,356.501E-15,378.782E-15,401.063E-15,423.345E-15,445.626E-15,229.785E-15,239.571E-15,249.356E-15,259.141E-15,268.927E-15,278.712E-15,288.497E-15,298.282E-15,308.068E-15,317.853E-15,327.638E-15,337.424E-15,347.209E-15,356.994E-15,366.780E-15,376.565E-15,386.350E-15,396.136E-15,405.921E-15,415.706E-15
240.000E-3,47.1879E-15,94.3758E-15,141.564E-15,188.752E-15,235.939E-15,283.127E-15,330.315E-15,377.503E-15,424.691E-15,471.879E-15,519.067E-15,566.255E-15,613.442E-15,660.630E-15,707.818E-15,755.006E-15,802.194E-15,849.382E-15,896.570E-15,943.758E-15,253.469E-15,266.937E-15,280.406E-15,293.874E-15,307.343E-15,320.811E-15,334.280E-15,347.748E-15,361.217E-15,374.685E-15,388.154E-15,401.623E-15,415.091E-15,428.560E-15,442.028E-15,455.497E-15,468.965E-15,482.434E-15,495.902E-15,509.371E-15
260.000E-3,99.8757E-15,199.751E-15,299.627E-15,399.503E-15,499.379E-15,599.254E-15,699.130E-15,799.006E-15,898.882E-15,998.757E-15,1.09863E-12,1.19851E-12,1.29838E-12,1.39826E-12,1.49814E-12,1.59801E-12,1.69789E-12,1.79776E-12,1.89764E-12,1.99751E-12,278.503E-15,297.007E-15,315.510E-15,334.013E-15,352.517E-15,371.020E-15,389.523E-15,408.026E-15,426.530E-15,445.033E-15,463.536E-15,482.040E-15,500.543E-15,519.046E-15,537.550E-15,556.053E-15,574.556E-15,593.060E-15,611.563E-15,630.066E-15
280.000E-3,211.267E-15,422.534E-15,633.801E-15,845.068E-15,1.05633E-12,1.26760E-12,1.47887E-12,1.69014E-12,1.90140E-12,2.11267E-12,2.32394E-12,2.53520E-12,2.74647E-12,2.95774E-12,3.16900E-12,3.38027E-12,3.59154E-12,3.80281E-12,4.01407E-12,4.22534E-12,305.398E-15,330.797E-15,356.195E-15,381.593E-15,406.992E-15,432.390E-15,457.788E-15,483.187E-15,508.585E-15,533.983E-15,559.382E-15,584.780E-15,610.179E-15,635.577E-15,660.975E-15,686.374E-15,711.772E-15,737.170E-15,762.569E-15,787.967E-15
300.000E-3,446.621E-15,893.242E-15,1.33986E-12,1.78648E-12,2.23311E-12,2.67973E-12,3.12635E-12,3.57297E-12,4.01959E-12,4.46621E-12,4.91283E-12,5.35945E-12,5.80607E-12,6.25270E-12,6.69932E-12,7.14594E-12,7.59256E-12,8.03918E-12,8.48580E-12,8.93242E-12,334.868E-15,369.737E-15,404.605E-15,439.474E-15,474.342E-15,509.211E-15,544.079E-15,578.948E-15,613.816E-15,648.685E-15,683.553E-15,718.422E-15,753.290E-15,788.159E-15,823.027E-15,857.895E-15,892.764E-15,927.632E-15,962.501E-15,997.369E-15
320.000E-3,943.567E-15,1.88713E-12,2.83070E-12,3.77427E-12,4.71784E-12,5.66140E-12,6.60497E-12,7.54854E-12,8.49211E-12,9.43567E-12,10.3792E-12,11.3228E-12,12.2664E-12,13.2099E-12,14.1535E-12,15.0971E-12,16.0406E-12,16.9842E-12,17.9278E-12,18.8713E-12,367.934E-15,415.868E-15,463.802E-15,511.736E-15,559.670E-15,607.604E-15,655.538E-15,703.472E-15,751.406E-15,799.340E-15,847.274E-15,895.208E-15,943.142E-15,991.076E-15,1.03901E-12,1.08694E-12,1.13488E-12,1.18281E-12,1.23075E-12,1.27868E-12
340.000E-3,1.99214E-12,3.98428E-12,5.97642E-12,7.96856E-12,9.96070E-12,11.9528E-12,13.9450E-12,15.9371E-12,17.9293E-12,19.9214E-12,21.9135E-12,23.9057E-12,25.8978E-12,27.8900E-12,29.8821E-12,31.8742E-12,33.8664E-12,35.8585E-12,37.8507E-12,39.8428E-12,406.085E-15,472.170E-15,538.255E-15,604.340E-15,670.425E-15,736.510E-15,802.596E-15,868.681E-15,934.766E-15,1.00085E-12,1.06694E-12,1.13302E-12,1.19911E-12,1.26519E-12,1.33128E-12,1.39736E-12,1.46345E-12,1.52953E-12,1.59562E-12,1.66170E-12
360.000E-3,4.20306E-12,8.40611E-12,12.6092E-12,16.8122E-12,21.0153E-12,25.2183E-12,29.4214E-12,33.6245E-12,37.8275E-12,42.0306E-12,46.2336E-12,50.4367E-12,54.6397E-12,58.8428E-12,63.0459E-12,67.2489E-12,71.4520E-12,75.6550E-12,79.8581E-12,84.0611E-12,451.566E-15,543.132E-15,634.698E-15,726.265E-15,817.831E-15,909.397E-15,1.00096E-12,1.09253E-12,1.18410E-12,1.27566E-12,1.36723E-12,1.45879E-12,1.55036E-12,1.64193E-12,1.73349E-12,1.82506E-12,1.91662E-12,2.00819E-12,2.09976E-12,2.19132E-12
380.000E-3,8.86121E-12,17.7224E-12,26.5836E-12,35.4449E-12,44.3061E-12,53.1673E-12,62.0285E-12,70.8897E-12,79.7509E-12,88.6121E-12,97.4733E-12,106.335E-12,115.196E-12,124.057E-12,132.918E-12,141.779E-12,150.641E-12,159.502E-12,168.363E-12,177.224E-12,507.896E-15,635.792E-15,763.687E-15,891.583E-15,1.01948E-12,1.14737E-12,1.27527E-12,1.40317E-12,1.53106E-12,1.65896E-12,1.78685E-12,1.91475E-12,2.04265E-12,2.17054E-12,2.29844E-12,2.42633E-12,2.55423E-12,2.68212E-12,2.81002E-12,2.93792E-12
