V ,leafValue( IS("/Q6/C") "N" 1 ) (A),leafValue( IS("/Q6/C") "N" 2 ) (A),leafValue( IS("/Q6/C") "N" 3 ) (A),leafValue( IS("/Q6/C") "N" 4 ) (A),leafValue( IS("/Q6/C") "N" 5 ) (A),leafValue( IS("/Q6/C") "N" 6 ) (A),leafValue( IS("/Q6/C") "N" 7 ) (A),leafValue( IS("/Q6/C") "N" 8 ) (A),leafValue( IS("/Q6/C") "N" 9 ) (A),leafValue( IS("/Q6/C") "N" 10 ) (A),leafValue( IS("/Q6/C") "N" 11 ) (A),leafValue( IS("/Q6/C") "N" 12 ) (A),leafValue( IS("/Q6/C") "N" 13 ) (A),leafValue( IS("/Q6/C") "N" 14 ) (A),leafValue( IS("/Q6/C") "N" 15 ) (A),leafValue( IS("/Q6/C") "N" 16 ) (A),leafValue( IS("/Q6/C") "N" 17 ) (A),leafValue( IS("/Q6/C") "N" 18 ) (A),leafValue( IS("/Q6/C") "N" 19 ) (A),leafValue( IS("/Q6/C") "N" 20 ) (A),leafValue( IS("/Q6/B") "N" 1 ) (A),leafValue( IS("/Q6/B") "N" 2 ) (A),leafValue( IS("/Q6/B") "N" 3 ) (A),leafValue( IS("/Q6/B") "N" 4 ) (A),leafValue( IS("/Q6/B") "N" 5 ) (A),leafValue( IS("/Q6/B") "N" 6 ) (A),leafValue( IS("/Q6/B") "N" 7 ) (A),leafValue( IS("/Q6/B") "N" 8 ) (A),leafValue( IS("/Q6/B") "N" 9 ) (A),leafValue( IS("/Q6/B") "N" 10 ) (A),leafValue( IS("/Q6/B") "N" 11 ) (A),leafValue( IS("/Q6/B") "N" 12 ) (A),leafValue( IS("/Q6/B") "N" 13 ) (A),leafValue( IS("/Q6/B") "N" 14 ) (A),leafValue( IS("/Q6/B") "N" 15 ) (A),leafValue( IS("/Q6/B") "N" 16 ) (A),leafValue( IS("/Q6/B") "N" 17 ) (A),leafValue( IS("/Q6/B") "N" 18 ) (A),leafValue( IS("/Q6/B") "N" 19 ) (A),leafValue( IS("/Q6/B") "N" 20 ) (A)
50.0000E-3,31.7930E-18,63.5859E-18,95.3788E-18,127.172E-18,158.965E-18,190.758E-18,222.551E-18,254.344E-18,286.137E-18,317.929E-18,349.722E-18,381.515E-18,413.308E-18,445.101E-18,476.894E-18,508.687E-18,540.480E-18,572.273E-18,604.066E-18,635.859E-18,50.3925E-15,50.7851E-15,51.1776E-15,51.5701E-15,51.9626E-15,52.3552E-15,52.7477E-15,53.1402E-15,53.5327E-15,53.9253E-15,54.3178E-15,54.7103E-15,55.1029E-15,55.4954E-15,55.8879E-15,56.2804E-15,56.6730E-15,57.0655E-15,57.4580E-15,57.8505E-15
55.0000E-3,39.5312E-18,79.0624E-18,118.594E-18,158.125E-18,197.656E-18,237.187E-18,276.719E-18,316.250E-18,355.781E-18,395.312E-18,434.843E-18,474.375E-18,513.906E-18,553.437E-18,592.968E-18,632.500E-18,672.031E-18,711.562E-18,751.093E-18,790.624E-18,55.4511E-15,55.9023E-15,56.3534E-15,56.8045E-15,57.2557E-15,57.7068E-15,58.1579E-15,58.6091E-15,59.0602E-15,59.5113E-15,59.9625E-15,60.4136E-15,60.8647E-15,61.3159E-15,61.7670E-15,62.2181E-15,62.6692E-15,63.1204E-15,63.5715E-15,64.0226E-15
60.0000E-3,48.8686E-18,97.7371E-18,146.606E-18,195.474E-18,244.343E-18,293.211E-18,342.080E-18,390.948E-18,439.817E-18,488.686E-18,537.554E-18,586.423E-18,635.291E-18,684.160E-18,733.028E-18,781.897E-18,830.766E-18,879.634E-18,928.503E-18,977.371E-18,60.5144E-15,61.0289E-15,61.5433E-15,62.0578E-15,62.5722E-15,63.0867E-15,63.6011E-15,64.1156E-15,64.6300E-15,65.1445E-15,65.6589E-15,66.1734E-15,66.6878E-15,67.2023E-15,67.7167E-15,68.2312E-15,68.7456E-15,69.2601E-15,69.7745E-15,70.2890E-15
65.0000E-3,60.1362E-18,120.272E-18,180.409E-18,240.545E-18,300.681E-18,360.817E-18,420.954E-18,481.090E-18,541.226E-18,601.362E-18,661.498E-18,721.635E-18,781.771E-18,841.907E-18,902.043E-18,962.180E-18,1.02232E-15,1.08245E-15,1.14259E-15,1.20272E-15,65.5829E-15,66.1657E-15,66.7486E-15,67.3314E-15,67.9143E-15,68.4971E-15,69.0800E-15,69.6629E-15,70.2457E-15,70.8286E-15,71.4114E-15,71.9943E-15,72.5772E-15,73.1600E-15,73.7429E-15,74.3257E-15,74.9086E-15,75.4914E-15,76.0743E-15,76.6572E-15
70.0000E-3,73.7340E-18,147.468E-18,221.202E-18,294.936E-18,368.670E-18,442.404E-18,516.138E-18,589.872E-18,663.606E-18,737.340E-18,811.074E-18,884.808E-18,958.542E-18,1.03228E-15,1.10601E-15,1.17974E-15,1.25348E-15,1.32721E-15,1.40095E-15,1.47468E-15,70.6568E-15,71.3135E-15,71.9703E-15,72.6271E-15,73.2838E-15,73.9406E-15,74.5974E-15,75.2541E-15,75.9109E-15,76.5677E-15,77.2244E-15,77.8812E-15,78.5380E-15,79.1947E-15,79.8515E-15,80.5083E-15,81.1650E-15,81.8218E-15,82.4786E-15,83.1353E-15
75.0000E-3,90.1446E-18,180.289E-18,270.434E-18,360.578E-18,450.723E-18,540.867E-18,631.012E-18,721.157E-18,811.301E-18,901.446E-18,991.590E-18,1.08173E-15,1.17188E-15,1.26202E-15,1.35217E-15,1.44231E-15,1.53246E-15,1.62260E-15,1.71275E-15,1.80289E-15,75.7366E-15,76.4732E-15,77.2099E-15,77.9465E-15,78.6831E-15,79.4197E-15,80.1563E-15,80.8930E-15,81.6296E-15,82.3662E-15,83.1028E-15,83.8394E-15,84.5761E-15,85.3127E-15,86.0493E-15,86.7859E-15,87.5225E-15,88.2592E-15,88.9958E-15,89.7324E-15
80.0000E-3,109.950E-18,219.900E-18,329.851E-18,439.801E-18,549.751E-18,659.701E-18,769.652E-18,879.602E-18,989.552E-18,1.09950E-15,1.20945E-15,1.31940E-15,1.42935E-15,1.53930E-15,1.64925E-15,1.75920E-15,1.86915E-15,1.97910E-15,2.08905E-15,2.19900E-15,80.8229E-15,81.6458E-15,82.4687E-15,83.2916E-15,84.1145E-15,84.9374E-15,85.7603E-15,86.5831E-15,87.4060E-15,88.2289E-15,89.0518E-15,89.8747E-15,90.6976E-15,91.5205E-15,92.3434E-15,93.1663E-15,93.9892E-15,94.8121E-15,95.6350E-15,96.4579E-15
85.0000E-3,133.854E-18,267.708E-18,401.562E-18,535.416E-18,669.270E-18,803.124E-18,936.978E-18,1.07083E-15,1.20469E-15,1.33854E-15,1.47239E-15,1.60625E-15,1.74010E-15,1.87396E-15,2.00781E-15,2.14166E-15,2.27552E-15,2.40937E-15,2.54323E-15,2.67708E-15,85.9161E-15,86.8322E-15,87.7483E-15,88.6644E-15,89.5805E-15,90.4966E-15,91.4127E-15,92.3288E-15,93.2449E-15,94.1611E-15,95.0772E-15,95.9933E-15,96.9094E-15,97.8255E-15,98.7416E-15,99.6577E-15,100.574E-15,101.490E-15,102.406E-15,103.322E-15
90.0000E-3,162.704E-18,325.408E-18,488.112E-18,650.816E-18,813.520E-18,976.224E-18,1.13893E-15,1.30163E-15,1.46434E-15,1.62704E-15,1.78974E-15,1.95245E-15,2.11515E-15,2.27786E-15,2.44056E-15,2.60326E-15,2.76597E-15,2.92867E-15,3.09138E-15,3.25408E-15,91.0168E-15,92.0336E-15,93.0504E-15,94.0673E-15,95.0841E-15,96.1009E-15,97.1177E-15,98.1345E-15,99.1513E-15,100.168E-15,101.185E-15,102.202E-15,103.219E-15,104.235E-15,105.252E-15,106.269E-15,107.286E-15,108.303E-15,109.319E-15,110.336E-15
95.0000E-3,197.524E-18,395.048E-18,592.573E-18,790.097E-18,987.621E-18,1.18515E-15,1.38267E-15,1.58019E-15,1.77772E-15,1.97524E-15,2.17277E-15,2.37029E-15,2.56781E-15,2.76534E-15,2.96286E-15,3.16039E-15,3.35791E-15,3.55544E-15,3.75296E-15,3.95048E-15,96.1256E-15,97.2512E-15,98.3769E-15,99.5025E-15,100.628E-15,101.754E-15,102.879E-15,104.005E-15,105.131E-15,106.256E-15,107.382E-15,108.507E-15,109.633E-15,110.759E-15,111.884E-15,113.010E-15,114.136E-15,115.261E-15,116.387E-15,117.512E-15
