freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
7.24436,179.332E-12,146.285E-12,124.531E-12,118.260E-12,124.427E-12
7.41310,177.318E-12,144.691E-12,123.250E-12,117.163E-12,123.439E-12
7.58578,175.327E-12,143.117E-12,121.985E-12,116.080E-12,122.466E-12
7.76247,173.360E-12,141.561E-12,120.736E-12,115.012E-12,121.507E-12
7.94328,171.415E-12,140.024E-12,119.503E-12,113.958E-12,120.562E-12
8.12831,169.493E-12,138.506E-12,118.285E-12,112.919E-12,119.632E-12
8.31764,167.594E-12,137.006E-12,117.083E-12,111.895E-12,118.716E-12
8.51138,165.717E-12,135.524E-12,115.897E-12,110.884E-12,117.814E-12
8.70964,163.862E-12,134.060E-12,114.725E-12,109.888E-12,116.926E-12
8.91251,162.029E-12,132.614E-12,113.569E-12,108.906E-12,116.052E-12
9.12011,160.217E-12,131.185E-12,112.427E-12,107.937E-12,115.191E-12
9.33254,158.426E-12,129.774E-12,111.300E-12,106.982E-12,114.343E-12
9.54993,156.656E-12,128.379E-12,110.187E-12,106.040E-12,113.508E-12
9.77237,154.907E-12,127.002E-12,109.089E-12,105.111E-12,112.687E-12
10.0000,153.179E-12,125.641E-12,108.005E-12,104.196E-12,111.878E-12
10.2329,151.471E-12,124.297E-12,106.935E-12,103.294E-12,111.082E-12
10.4713,149.783E-12,122.970E-12,105.880E-12,102.404E-12,110.299E-12
10.7152,148.114E-12,121.658E-12,104.837E-12,101.527E-12,109.528E-12
10.9648,146.466E-12,120.363E-12,103.809E-12,100.663E-12,108.769E-12
11.2202,144.836E-12,119.084E-12,102.794E-12,99.8113E-12,108.023E-12
11.4815,143.226E-12,117.820E-12,101.792E-12,98.9719E-12,107.288E-12
11.7490,141.635E-12,116.572E-12,100.803E-12,98.1446E-12,106.566E-12
12.0226,140.063E-12,115.339E-12,99.8277E-12,97.3293E-12,105.855E-12
12.3027,138.509E-12,114.121E-12,98.8650E-12,96.5260E-12,105.155E-12
12.5893,136.974E-12,112.919E-12,97.9151E-12,95.7345E-12,104.467E-12
12.8825,135.456E-12,111.731E-12,96.9779E-12,94.9545E-12,103.790E-12
13.1826,133.957E-12,110.558E-12,96.0531E-12,94.1861E-12,103.124E-12
13.4896,132.475E-12,109.399E-12,95.1408E-12,93.4291E-12,102.470E-12
13.8038,131.011E-12,108.255E-12,94.2406E-12,92.6834E-12,101.826E-12
14.1254,129.564E-12,107.125E-12,93.3526E-12,91.9487E-12,101.193E-12
14.4544,128.135E-12,106.009E-12,92.4765E-12,91.2251E-12,100.570E-12
14.7911,126.722E-12,104.908E-12,91.6123E-12,90.5124E-12,99.9577E-12
15.1356,125.326E-12,103.820E-12,90.7598E-12,89.8104E-12,99.3558E-12
15.4882,123.947E-12,102.745E-12,89.9189E-12,89.1191E-12,98.7640E-12
15.8489,122.584E-12,101.684E-12,89.0895E-12,88.4382E-12,98.1823E-12
16.2181,121.238E-12,100.637E-12,88.2714E-12,87.7678E-12,97.6104E-12
16.5959,119.907E-12,99.6022E-12,87.4646E-12,87.1076E-12,97.0483E-12
16.9824,118.592E-12,98.5809E-12,86.6688E-12,86.4576E-12,96.4958E-12
17.3780,117.293E-12,97.5725E-12,85.8841E-12,85.8177E-12,95.9529E-12
17.7828,116.010E-12,96.5768E-12,85.1102E-12,85.1877E-12,95.4193E-12
18.1970,114.741E-12,95.5938E-12,84.3471E-12,84.5674E-12,94.8949E-12
18.6209,113.488E-12,94.6234E-12,83.5946E-12,83.9569E-12,94.3797E-12
19.0546,112.250E-12,93.6653E-12,82.8527E-12,83.3559E-12,93.8735E-12
19.4984,111.027E-12,92.7194E-12,82.1211E-12,82.7644E-12,93.3761E-12
19.9526,109.819E-12,91.7857E-12,81.3999E-12,82.1823E-12,92.8875E-12
20.4174,108.625E-12,90.8639E-12,80.6888E-12,81.6094E-12,92.4076E-12
20.8930,107.445E-12,89.9540E-12,79.9879E-12,81.0456E-12,91.9361E-12
21.3796,106.280E-12,89.0559E-12,79.2969E-12,80.4909E-12,91.4730E-12
21.8776,105.128E-12,88.1693E-12,78.6157E-12,79.9450E-12,91.0182E-12
22.3872,103.991E-12,87.2942E-12,77.9444E-12,79.4080E-12,90.5715E-12
22.9087,102.867E-12,86.4305E-12,77.2826E-12,78.8796E-12,90.1328E-12
23.4423,101.757E-12,85.5780E-12,76.6304E-12,78.3598E-12,89.7021E-12
23.9883,100.660E-12,84.7367E-12,75.9877E-12,77.8485E-12,89.2792E-12
24.5471,99.5771E-12,83.9063E-12,75.3543E-12,77.3456E-12,88.8639E-12
25.1189,98.5068E-12,83.0868E-12,74.7301E-12,76.8510E-12,88.4562E-12
25.7040,97.4496E-12,82.2781E-12,74.1150E-12,76.3645E-12,88.0560E-12
26.3027,96.4052E-12,81.4801E-12,73.5090E-12,75.8861E-12,87.6631E-12
26.9153,95.3736E-12,80.6926E-12,72.9119E-12,75.4156E-12,87.2774E-12
27.5423,94.3545E-12,79.9155E-12,72.3236E-12,74.9530E-12,86.8989E-12
28.1838,93.3479E-12,79.1487E-12,71.7441E-12,74.4981E-12,86.5274E-12
28.8403,92.3536E-12,78.3922E-12,71.1732E-12,74.0509E-12,86.1628E-12
29.5121,91.3715E-12,77.6457E-12,70.6108E-12,73.6113E-12,85.8050E-12
30.1995,90.4015E-12,76.9092E-12,70.0569E-12,73.1791E-12,85.4539E-12
30.9030,89.4433E-12,76.1827E-12,69.5113E-12,72.7542E-12,85.1094E-12
31.6228,88.4970E-12,75.4659E-12,68.9739E-12,72.3367E-12,84.7714E-12
32.3594,87.5623E-12,74.7587E-12,68.4448E-12,71.9263E-12,84.4397E-12
33.1131,86.6391E-12,74.0612E-12,67.9236E-12,71.5229E-12,84.1144E-12
33.8844,85.7273E-12,73.3731E-12,67.4105E-12,71.1265E-12,83.7952E-12
34.6737,84.8269E-12,72.6944E-12,66.9052E-12,70.7370E-12,83.4822E-12
35.4813,83.9376E-12,72.0250E-12,66.4077E-12,70.3543E-12,83.1751E-12
36.3078,83.0593E-12,71.3647E-12,65.9180E-12,69.9783E-12,82.8739E-12
37.1535,82.1920E-12,70.7135E-12,65.4358E-12,69.6089E-12,82.5785E-12
38.0189,81.3355E-12,70.0713E-12,64.9611E-12,69.2460E-12,82.2888E-12
38.9045,80.4896E-12,69.4380E-12,64.4939E-12,68.8895E-12,82.0047E-12
39.8107,79.6544E-12,68.8134E-12,64.0340E-12,68.5393E-12,81.7261E-12
40.7380,78.8296E-12,68.1976E-12,63.5814E-12,68.1953E-12,81.4529E-12
41.6869,78.0152E-12,67.5903E-12,63.1359E-12,67.8575E-12,81.1851E-12
42.6580,77.2110E-12,66.9916E-12,62.6975E-12,67.5258E-12,80.9225E-12
43.6516,76.4169E-12,66.4012E-12,62.2661E-12,67.2000E-12,80.6651E-12
44.6684,75.6328E-12,65.8192E-12,61.8417E-12,66.8801E-12,80.4127E-12
45.7088,74.8587E-12,65.2454E-12,61.4240E-12,66.5660E-12,80.1653E-12
46.7735,74.0944E-12,64.6798E-12,61.0131E-12,66.2576E-12,79.9228E-12
47.8630,73.3398E-12,64.1222E-12,60.6089E-12,65.9548E-12,79.6851E-12
48.9779,72.5947E-12,63.5726E-12,60.2112E-12,65.6576E-12,79.4521E-12
50.1187,71.8592E-12,63.0309E-12,59.8201E-12,65.3659E-12,79.2238E-12
51.2861,71.1331E-12,62.4969E-12,59.4353E-12,65.0795E-12,79.0000E-12
52.4807,70.4162E-12,61.9707E-12,59.0569E-12,64.7984E-12,78.7807E-12
53.7032,69.7086E-12,61.4521E-12,58.6847E-12,64.5225E-12,78.5658E-12
54.9541,69.0100E-12,60.9410E-12,58.3188E-12,64.2518E-12,78.3552E-12
56.2341,68.3205E-12,60.4374E-12,57.9589E-12,63.9861E-12,78.1489E-12
57.5440,67.6399E-12,59.9412E-12,57.6050E-12,63.7254E-12,77.9467E-12
58.8844,66.9680E-12,59.4522E-12,57.2571E-12,63.4696E-12,77.7487E-12
60.2560,66.3049E-12,58.9705E-12,56.9151E-12,63.2186E-12,77.5546E-12
61.6595,65.6504E-12,58.4959E-12,56.5788E-12,62.9724E-12,77.3645E-12
63.0957,65.0045E-12,58.0284E-12,56.2483E-12,62.7308E-12,77.1783E-12
64.5654,64.3670E-12,57.5678E-12,55.9233E-12,62.4939E-12,76.9959E-12
66.0693,63.7378E-12,57.1141E-12,55.6040E-12,62.2614E-12,76.8172E-12
67.6083,63.1169E-12,56.6673E-12,55.2901E-12,62.0334E-12,76.6422E-12
69.1831,62.5042E-12,56.2272E-12,54.9817E-12,61.8098E-12,76.4707E-12
70.7946,61.8995E-12,55.7937E-12,54.6786E-12,61.5905E-12,76.3028E-12
72.4436,61.3029E-12,55.3669E-12,54.3807E-12,61.3754E-12,76.1384E-12
74.1310,60.7142E-12,54.9465E-12,54.0881E-12,61.1645E-12,75.9774E-12
75.8578,60.1333E-12,54.5326E-12,53.8006E-12,60.9577E-12,75.8197E-12
77.6247,59.5601E-12,54.1251E-12,53.5181E-12,60.7549E-12,75.6653E-12
79.4328,58.9947E-12,53.7238E-12,53.2406E-12,60.5561E-12,75.5140E-12
81.2831,58.4368E-12,53.3288E-12,52.9680E-12,60.3612E-12,75.3660E-12
83.1764,57.8864E-12,52.9399E-12,52.7003E-12,60.1701E-12,75.2210E-12
85.1138,57.3434E-12,52.5571E-12,52.4373E-12,59.9827E-12,75.0791E-12
87.0964,56.8078E-12,52.1803E-12,52.1791E-12,59.7991E-12,74.9401E-12
89.1251,56.2795E-12,51.8094E-12,51.9254E-12,59.6190E-12,74.8040E-12
91.2011,55.7583E-12,51.4443E-12,51.6764E-12,59.4426E-12,74.6708E-12
93.3254,55.2443E-12,51.0851E-12,51.4319E-12,59.2697E-12,74.5404E-12
95.4993,54.7373E-12,50.7316E-12,51.1917E-12,59.1002E-12,74.4128E-12
97.7237,54.2373E-12,50.3837E-12,50.9560E-12,58.9341E-12,74.2878E-12
100.000,53.7441E-12,50.0414E-12,50.7246E-12,58.7713E-12,74.1655E-12
102.329,53.2578E-12,49.7047E-12,50.4974E-12,58.6118E-12,74.0457E-12
104.713,52.7782E-12,49.3733E-12,50.2744E-12,58.4555E-12,73.9285E-12
107.152,52.3053E-12,49.0474E-12,50.0555E-12,58.3024E-12,73.8138E-12
109.648,51.8389E-12,48.7267E-12,49.8407E-12,58.1523E-12,73.7016E-12
112.202,51.3791E-12,48.4114E-12,49.6298E-12,58.0053E-12,73.5917E-12
114.815,50.9258E-12,48.1012E-12,49.4229E-12,57.8613E-12,73.4842E-12
117.490,50.4788E-12,47.7961E-12,49.2199E-12,57.7202E-12,73.3789E-12
120.226,50.0382E-12,47.4960E-12,49.0207E-12,57.5820E-12,73.2759E-12
123.027,49.6038E-12,47.2010E-12,48.8252E-12,57.4466E-12,73.1752E-12
125.893,49.1755E-12,46.9108E-12,48.6334E-12,57.3140E-12,73.0765E-12
128.825,48.7534E-12,46.6256E-12,48.4452E-12,57.1841E-12,72.9800E-12
131.826,48.3374E-12,46.3451E-12,48.2606E-12,57.0569E-12,72.8856E-12
134.896,47.9273E-12,46.0694E-12,48.0796E-12,56.9323E-12,72.7932E-12
138.038,47.5232E-12,45.7983E-12,47.9020E-12,56.8103E-12,72.7028E-12
141.254,47.1249E-12,45.5319E-12,47.7278E-12,56.6908E-12,72.6143E-12
144.544,46.7323E-12,45.2700E-12,47.5569E-12,56.5738E-12,72.5278E-12
147.911,46.3455E-12,45.0125E-12,47.3893E-12,56.4592E-12,72.4431E-12
151.356,45.9644E-12,44.7596E-12,47.2250E-12,56.3470E-12,72.3602E-12
154.882,45.5889E-12,44.5109E-12,47.0639E-12,56.2371E-12,72.2792E-12
158.489,45.2189E-12,44.2666E-12,46.9059E-12,56.1295E-12,72.1999E-12
162.181,44.8543E-12,44.0266E-12,46.7510E-12,56.0242E-12,72.1223E-12
165.959,44.4952E-12,43.7907E-12,46.5991E-12,55.9210E-12,72.0464E-12
169.824,44.1414E-12,43.5590E-12,46.4501E-12,55.8201E-12,71.9721E-12
173.780,43.7930E-12,43.3314E-12,46.3042E-12,55.7212E-12,71.8995E-12
177.828,43.4497E-12,43.1077E-12,46.1611E-12,55.6245E-12,71.8285E-12
181.970,43.1117E-12,42.8881E-12,46.0208E-12,55.5298E-12,71.7590E-12
186.209,42.7787E-12,42.6723E-12,45.8833E-12,55.4370E-12,71.6910E-12
190.546,42.4508E-12,42.4604E-12,45.7485E-12,55.3463E-12,71.6245E-12
194.984,42.1279E-12,42.2523E-12,45.6164E-12,55.2574E-12,71.5594E-12
199.526,41.8099E-12,42.0479E-12,45.4869E-12,55.1705E-12,71.4958E-12
204.174,41.4969E-12,41.8473E-12,45.3601E-12,55.0854E-12,71.4336E-12
208.930,41.1886E-12,41.6502E-12,45.2358E-12,55.0021E-12,71.3727E-12
213.796,40.8851E-12,41.4567E-12,45.1139E-12,54.9206E-12,71.3132E-12
218.776,40.5864E-12,41.2668E-12,44.9946E-12,54.8408E-12,71.2550E-12
223.872,40.2923E-12,41.0804E-12,44.8776E-12,54.7627E-12,71.1981E-12
229.087,40.0028E-12,40.8973E-12,44.7630E-12,54.6863E-12,71.1424E-12
234.423,39.7178E-12,40.7177E-12,44.6508E-12,54.6115E-12,71.0879E-12
239.883,39.4374E-12,40.5413E-12,44.5408E-12,54.5383E-12,71.0346E-12
245.471,39.1614E-12,40.3682E-12,44.4330E-12,54.4667E-12,70.9825E-12
251.189,38.8898E-12,40.1984E-12,44.3275E-12,54.3967E-12,70.9316E-12
257.040,38.6225E-12,40.0317E-12,44.2241E-12,54.3281E-12,70.8818E-12
263.027,38.3595E-12,39.8681E-12,44.1228E-12,54.2610E-12,70.8331E-12
269.153,38.1008E-12,39.7076E-12,44.0237E-12,54.1954E-12,70.7854E-12
275.423,37.8462E-12,39.5502E-12,43.9265E-12,54.1312E-12,70.7389E-12
281.838,37.5957E-12,39.3957E-12,43.8314E-12,54.0683E-12,70.6933E-12
288.403,37.3494E-12,39.2441E-12,43.7382E-12,54.0069E-12,70.6488E-12
295.121,37.1070E-12,39.0954E-12,43.6470E-12,53.9467E-12,70.6052E-12
301.995,36.8687E-12,38.9496E-12,43.5576E-12,53.8879E-12,70.5626E-12
309.030,36.6342E-12,38.8065E-12,43.4701E-12,53.8304E-12,70.5209E-12
316.228,36.4037E-12,38.6662E-12,43.3844E-12,53.7741E-12,70.4802E-12
323.594,36.1769E-12,38.5286E-12,43.3005E-12,53.7190E-12,70.4404E-12
331.131,35.9540E-12,38.3937E-12,43.2184E-12,53.6651E-12,70.4015E-12
338.844,35.7348E-12,38.2613E-12,43.1380E-12,53.6124E-12,70.3634E-12
346.737,35.5192E-12,38.1316E-12,43.0592E-12,53.5608E-12,70.3262E-12
354.813,35.3073E-12,38.0043E-12,42.9822E-12,53.5104E-12,70.2898E-12
363.078,35.0990E-12,37.8795E-12,42.9067E-12,53.4611E-12,70.2542E-12
371.535,34.8942E-12,37.7572E-12,42.8328E-12,53.4128E-12,70.2194E-12
380.189,34.6930E-12,37.6373E-12,42.7605E-12,53.3656E-12,70.1854E-12
389.045,34.4951E-12,37.5197E-12,42.6897E-12,53.3195E-12,70.1521E-12
398.107,34.3007E-12,37.4045E-12,42.6205E-12,53.2743E-12,70.1196E-12
407.380,34.1096E-12,37.2915E-12,42.5526E-12,53.2302E-12,70.0878E-12
416.869,33.9219E-12,37.1808E-12,42.4863E-12,53.1870E-12,70.0567E-12
426.580,33.7374E-12,37.0723E-12,42.4213E-12,53.1447E-12,70.0263E-12
436.516,33.5561E-12,36.9659E-12,42.3577E-12,53.1034E-12,69.9966E-12
446.684,33.3780E-12,36.8617E-12,42.2955E-12,53.0630E-12,69.9676E-12
457.088,33.2030E-12,36.7595E-12,42.2346E-12,53.0235E-12,69.9392E-12
467.735,33.0311E-12,36.6594E-12,42.1750E-12,52.9849E-12,69.9114E-12
478.630,32.8623E-12,36.5614E-12,42.1166E-12,52.9471E-12,69.8843E-12
489.779,32.6964E-12,36.4653E-12,42.0596E-12,52.9101E-12,69.8578E-12
501.187,32.5335E-12,36.3711E-12,42.0037E-12,52.8740E-12,69.8318E-12
512.861,32.3736E-12,36.2788E-12,41.9491E-12,52.8387E-12,69.8065E-12
524.807,32.2165E-12,36.1885E-12,41.8956E-12,52.8041E-12,69.7817E-12
537.032,32.0622E-12,36.0999E-12,41.8433E-12,52.7703E-12,69.7574E-12
549.541,31.9107E-12,36.0132E-12,41.7921E-12,52.7373E-12,69.7338E-12
562.341,31.7620E-12,35.9282E-12,41.7420E-12,52.7049E-12,69.7106E-12
575.440,31.6160E-12,35.8450E-12,41.6929E-12,52.6734E-12,69.6880E-12
588.844,31.4727E-12,35.7634E-12,41.6450E-12,52.6425E-12,69.6658E-12
602.560,31.3319E-12,35.6836E-12,41.5981E-12,52.6122E-12,69.6442E-12
616.595,31.1938E-12,35.6054E-12,41.5522E-12,52.5827E-12,69.6231E-12
630.957,31.0582E-12,35.5288E-12,41.5073E-12,52.5538E-12,69.6024E-12
645.654,30.9252E-12,35.4538E-12,41.4634E-12,52.5256E-12,69.5822E-12
660.693,30.7946E-12,35.3804E-12,41.4204E-12,52.4980E-12,69.5624E-12
676.083,30.6664E-12,35.3084E-12,41.3784E-12,52.4710E-12,69.5431E-12
691.831,30.5407E-12,35.2380E-12,41.3372E-12,52.4446E-12,69.5242E-12
707.946,30.4173E-12,35.1690E-12,41.2970E-12,52.4188E-12,69.5058E-12
724.436,30.2962E-12,35.1015E-12,41.2577E-12,52.3935E-12,69.4878E-12
741.310,30.1774E-12,35.0354E-12,41.2192E-12,52.3689E-12,69.4701E-12
758.578,30.0609E-12,34.9707E-12,41.1815E-12,52.3448E-12,69.4529E-12
776.247,29.9466E-12,34.9073E-12,41.1447E-12,52.3212E-12,69.4361E-12
794.328,29.8344E-12,34.8453E-12,41.1087E-12,52.2981E-12,69.4196E-12
812.831,29.7244E-12,34.7845E-12,41.0735E-12,52.2756E-12,69.4035E-12
831.764,29.6165E-12,34.7251E-12,41.0390E-12,52.2535E-12,69.3878E-12
851.138,29.5107E-12,34.6669E-12,41.0053E-12,52.2320E-12,69.3724E-12
870.964,29.4070E-12,34.6099E-12,40.9723E-12,52.2109E-12,69.3574E-12
891.251,29.3052E-12,34.5541E-12,40.9401E-12,52.1903E-12,69.3427E-12
912.011,29.2054E-12,34.4996E-12,40.9086E-12,52.1702E-12,69.3283E-12
933.254,29.1076E-12,34.4461E-12,40.8778E-12,52.1505E-12,69.3143E-12
954.993,29.0116E-12,34.3938E-12,40.8476E-12,52.1313E-12,69.3006E-12
977.237,28.9175E-12,34.3427E-12,40.8181E-12,52.1125E-12,69.2872E-12
1.00000E3,28.8253E-12,34.2926E-12,40.7893E-12,52.0941E-12,69.2741E-12
1.02329E3,28.7349E-12,34.2436E-12,40.7611E-12,52.0761E-12,69.2612E-12
1.04713E3,28.6463E-12,34.1956E-12,40.7335E-12,52.0586E-12,69.2487E-12
1.07152E3,28.5594E-12,34.1487E-12,40.7066E-12,52.0414E-12,69.2365E-12
1.09648E3,28.4743E-12,34.1027E-12,40.6802E-12,52.0246E-12,69.2245E-12
1.12202E3,28.3908E-12,34.0578E-12,40.6544E-12,52.0082E-12,69.2128E-12
1.14815E3,28.3090E-12,34.0138E-12,40.6292E-12,51.9921E-12,69.2014E-12
1.17490E3,28.2288E-12,33.9708E-12,40.6045E-12,51.9765E-12,69.1902E-12
1.20226E3,28.1503E-12,33.9287E-12,40.5804E-12,51.9611E-12,69.1793E-12
1.23027E3,28.0733E-12,33.8875E-12,40.5568E-12,51.9461E-12,69.1687E-12
1.25893E3,27.9979E-12,33.8472E-12,40.5338E-12,51.9315E-12,69.1582E-12
1.28825E3,27.9239E-12,33.8077E-12,40.5113E-12,51.9172E-12,69.1480E-12
1.31826E3,27.8515E-12,33.7691E-12,40.4892E-12,51.9032E-12,69.1381E-12
1.34896E3,27.7806E-12,33.7314E-12,40.4677E-12,51.8895E-12,69.1283E-12
1.38038E3,27.7110E-12,33.6944E-12,40.4466E-12,51.8761E-12,69.1188E-12
1.41254E3,27.6429E-12,33.6583E-12,40.4260E-12,51.8630E-12,69.1095E-12
1.44544E3,27.5762E-12,33.6230E-12,40.4059E-12,51.8503E-12,69.1004E-12
1.47911E3,27.5109E-12,33.5884E-12,40.3862E-12,51.8378E-12,69.0916E-12
