freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
1.00000,478.766E-12,385.489E-12,320.292E-12,291.349E-12,287.540E-12
1.02329,473.300E-12,381.107E-12,316.682E-12,288.117E-12,284.437E-12
1.04713,467.897E-12,376.776E-12,313.113E-12,284.925E-12,281.372E-12
1.07152,462.556E-12,372.494E-12,309.587E-12,281.769E-12,278.344E-12
1.09648,457.276E-12,368.262E-12,306.101E-12,278.651E-12,275.353E-12
1.12202,452.057E-12,364.079E-12,302.656E-12,275.570E-12,272.399E-12
1.14815,446.897E-12,359.944E-12,299.251E-12,272.526E-12,269.480E-12
1.17490,441.797E-12,355.857E-12,295.885E-12,269.518E-12,266.597E-12
1.20226,436.756E-12,351.816E-12,292.559E-12,266.545E-12,263.749E-12
1.23027,431.772E-12,347.823E-12,289.272E-12,263.607E-12,260.936E-12
1.25893,426.846E-12,343.875E-12,286.023E-12,260.705E-12,258.157E-12
1.28825,421.976E-12,339.974E-12,282.812E-12,257.837E-12,255.413E-12
1.31826,417.162E-12,336.117E-12,279.638E-12,255.003E-12,252.702E-12
1.34896,412.403E-12,332.304E-12,276.501E-12,252.203E-12,250.024E-12
1.38038,407.699E-12,328.536E-12,273.401E-12,249.436E-12,247.379E-12
1.41254,403.050E-12,324.812E-12,270.337E-12,246.702E-12,244.767E-12
1.44544,398.453E-12,321.130E-12,267.309E-12,244.001E-12,242.187E-12
1.47911,393.909E-12,317.491E-12,264.317E-12,241.332E-12,239.639E-12
1.51356,389.418E-12,313.894E-12,261.359E-12,238.695E-12,237.123E-12
1.54882,384.978E-12,310.338E-12,258.436E-12,236.089E-12,234.638E-12
1.58489,380.589E-12,306.824E-12,255.548E-12,233.515E-12,232.183E-12
1.62181,376.251E-12,303.351E-12,252.693E-12,230.972E-12,229.760E-12
1.65959,371.963E-12,299.917E-12,249.872E-12,228.459E-12,227.366E-12
1.69824,367.723E-12,296.524E-12,247.083E-12,225.976E-12,225.002E-12
1.73780,363.533E-12,293.169E-12,244.328E-12,223.524E-12,222.668E-12
1.77828,359.391E-12,289.854E-12,241.605E-12,221.101E-12,220.363E-12
1.81970,355.296E-12,286.577E-12,238.913E-12,218.707E-12,218.087E-12
1.86209,351.249E-12,283.338E-12,236.254E-12,216.342E-12,215.840E-12
1.90546,347.248E-12,280.136E-12,233.626E-12,214.005E-12,213.621E-12
1.94984,343.293E-12,276.972E-12,231.028E-12,211.697E-12,211.430E-12
1.99526,339.383E-12,273.844E-12,228.462E-12,209.417E-12,209.267E-12
2.04174,335.519E-12,270.752E-12,225.925E-12,207.164E-12,207.131E-12
2.08930,331.699E-12,267.697E-12,223.419E-12,204.939E-12,205.022E-12
2.13796,327.923E-12,264.677E-12,220.942E-12,202.741E-12,202.940E-12
2.18776,324.190E-12,261.692E-12,218.494E-12,200.570E-12,200.885E-12
2.23872,320.501E-12,258.741E-12,216.075E-12,198.425E-12,198.856E-12
2.29087,316.854E-12,255.825E-12,213.685E-12,196.306E-12,196.852E-12
2.34423,313.248E-12,252.943E-12,211.323E-12,194.213E-12,194.875E-12
2.39883,309.685E-12,250.095E-12,208.989E-12,192.146E-12,192.923E-12
2.45471,306.162E-12,247.279E-12,206.683E-12,190.104E-12,190.996E-12
2.51189,302.680E-12,244.496E-12,204.404E-12,188.087E-12,189.094E-12
2.57040,299.238E-12,241.746E-12,202.153E-12,186.095E-12,187.217E-12
2.63027,295.836E-12,239.028E-12,199.928E-12,184.128E-12,185.364E-12
2.69153,292.473E-12,236.341E-12,197.729E-12,182.185E-12,183.535E-12
2.75423,289.149E-12,233.686E-12,195.557E-12,180.265E-12,181.730E-12
2.81838,285.863E-12,231.062E-12,193.410E-12,178.370E-12,179.949E-12
2.88403,282.615E-12,228.468E-12,191.289E-12,176.498E-12,178.191E-12
2.95121,279.405E-12,225.905E-12,189.193E-12,174.649E-12,176.456E-12
3.01995,276.231E-12,223.371E-12,187.123E-12,172.823E-12,174.743E-12
3.09030,273.094E-12,220.867E-12,185.077E-12,171.020E-12,173.054E-12
3.16228,269.994E-12,218.393E-12,183.056E-12,169.240E-12,171.387E-12
3.23594,266.929E-12,215.947E-12,181.059E-12,167.481E-12,169.742E-12
3.31131,263.899E-12,213.530E-12,179.085E-12,165.745E-12,168.119E-12
3.38844,260.905E-12,211.141E-12,177.136E-12,164.030E-12,166.517E-12
3.46737,257.945E-12,208.780E-12,175.210E-12,162.337E-12,164.937E-12
3.54813,255.019E-12,206.447E-12,173.307E-12,160.666E-12,163.378E-12
3.63078,252.127E-12,204.141E-12,171.427E-12,159.015E-12,161.841E-12
3.71535,249.268E-12,201.862E-12,169.569E-12,157.385E-12,160.323E-12
3.80189,246.443E-12,199.610E-12,167.734E-12,155.776E-12,158.827E-12
3.89045,243.650E-12,197.385E-12,165.921E-12,154.187E-12,157.351E-12
3.98107,240.889E-12,195.185E-12,164.131E-12,152.619E-12,155.895E-12
4.07380,238.161E-12,193.012E-12,162.361E-12,151.070E-12,154.458E-12
4.16869,235.464E-12,190.863E-12,160.614E-12,149.541E-12,153.042E-12
4.26580,232.798E-12,188.741E-12,158.887E-12,148.032E-12,151.645E-12
4.36516,230.163E-12,186.643E-12,157.182E-12,146.542E-12,150.267E-12
4.46684,227.558E-12,184.570E-12,155.497E-12,145.071E-12,148.908E-12
4.57088,224.984E-12,182.521E-12,153.832E-12,143.619E-12,147.568E-12
4.67735,222.439E-12,180.497E-12,152.188E-12,142.186E-12,146.247E-12
4.78630,219.924E-12,178.496E-12,150.565E-12,140.771E-12,144.944E-12
4.89779,217.438E-12,176.519E-12,148.960E-12,139.375E-12,143.659E-12
5.01187,214.981E-12,174.566E-12,147.376E-12,137.997E-12,142.392E-12
5.12861,212.552E-12,172.635E-12,145.811E-12,136.636E-12,141.144E-12
5.24807,210.152E-12,170.728E-12,144.265E-12,135.294E-12,139.913E-12
5.37032,207.779E-12,168.843E-12,142.739E-12,133.969E-12,138.699E-12
5.49541,205.434E-12,166.980E-12,141.231E-12,132.661E-12,137.503E-12
5.62341,203.117E-12,165.140E-12,139.741E-12,131.371E-12,136.323E-12
5.75440,200.826E-12,163.321E-12,138.270E-12,130.098E-12,135.161E-12
5.88844,198.561E-12,161.524E-12,136.818E-12,128.841E-12,134.015E-12
6.02560,196.323E-12,159.748E-12,135.383E-12,127.601E-12,132.886E-12
6.16595,194.111E-12,157.994E-12,133.966E-12,126.378E-12,131.773E-12
6.30957,191.925E-12,156.260E-12,132.567E-12,125.171E-12,130.677E-12
6.45654,189.764E-12,154.547E-12,131.185E-12,123.980E-12,129.596E-12
6.60693,187.629E-12,152.855E-12,129.821E-12,122.805E-12,128.532E-12
6.76083,185.518E-12,151.183E-12,128.473E-12,121.645E-12,127.482E-12
6.91831,183.432E-12,149.530E-12,127.142E-12,120.502E-12,126.449E-12
7.07946,181.370E-12,147.898E-12,125.828E-12,119.373E-12,125.430E-12
