freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
128.825,47.1204E-12,45.0773E-12,48.4452E-12,58.2354E-12,75.3510E-12
131.826,46.7338E-12,44.8041E-12,48.2606E-12,58.1070E-12,75.2482E-12
134.896,46.3530E-12,44.5355E-12,48.0796E-12,57.9813E-12,75.1475E-12
138.038,45.9777E-12,44.2714E-12,47.9020E-12,57.8581E-12,75.0491E-12
141.254,45.6080E-12,44.0119E-12,47.7278E-12,57.7375E-12,74.9527E-12
144.544,45.2438E-12,43.7567E-12,47.5569E-12,57.6194E-12,74.8584E-12
147.911,44.8851E-12,43.5059E-12,47.3893E-12,57.5038E-12,74.7662E-12
151.356,44.5317E-12,43.2594E-12,47.2250E-12,57.3906E-12,74.6759E-12
154.882,44.1836E-12,43.0172E-12,47.0639E-12,57.2797E-12,74.5876E-12
158.489,43.8408E-12,42.7792E-12,46.9059E-12,57.1711E-12,74.5012E-12
162.181,43.5032E-12,42.5452E-12,46.7510E-12,57.0649E-12,74.4167E-12
165.959,43.1707E-12,42.3154E-12,46.5991E-12,56.9608E-12,74.3340E-12
169.824,42.8433E-12,42.0896E-12,46.4501E-12,56.8589E-12,74.2531E-12
173.780,42.5209E-12,41.8677E-12,46.3042E-12,56.7592E-12,74.1739E-12
177.828,42.2034E-12,41.6498E-12,46.1611E-12,56.6616E-12,74.0965E-12
181.970,41.8909E-12,41.4357E-12,46.0208E-12,56.5660E-12,74.0208E-12
186.209,41.5832E-12,41.2254E-12,45.8833E-12,56.4724E-12,73.9467E-12
190.546,41.2803E-12,41.0188E-12,45.7485E-12,56.3809E-12,73.8742E-12
194.984,40.9821E-12,40.8160E-12,45.6164E-12,56.2912E-12,73.8033E-12
199.526,40.6886E-12,40.6168E-12,45.4869E-12,56.2035E-12,73.7339E-12
204.174,40.3998E-12,40.4211E-12,45.3601E-12,56.1176E-12,73.6661E-12
208.930,40.1155E-12,40.2290E-12,45.2358E-12,56.0336E-12,73.5997E-12
213.796,39.8357E-12,40.0404E-12,45.1139E-12,55.9514E-12,73.5348E-12
218.776,39.5603E-12,39.8552E-12,44.9946E-12,55.8709E-12,73.4714E-12
223.872,39.2894E-12,39.6734E-12,44.8776E-12,55.7921E-12,73.4093E-12
229.087,39.0228E-12,39.4949E-12,44.7630E-12,55.7150E-12,73.3485E-12
234.423,38.7605E-12,39.3197E-12,44.6508E-12,55.6396E-12,73.2892E-12
239.883,38.5025E-12,39.1478E-12,44.5408E-12,55.5658E-12,73.2311E-12
245.471,38.2486E-12,38.9790E-12,44.4330E-12,55.4935E-12,73.1743E-12
251.189,37.9989E-12,38.8133E-12,44.3275E-12,55.4228E-12,73.1187E-12
257.040,37.7533E-12,38.6508E-12,44.2241E-12,55.3537E-12,73.0644E-12
263.027,37.5117E-12,38.4913E-12,44.1228E-12,55.2860E-12,73.0112E-12
269.153,37.2741E-12,38.3347E-12,44.0237E-12,55.2198E-12,72.9593E-12
275.423,37.0404E-12,38.1811E-12,43.9265E-12,55.1550E-12,72.9085E-12
281.838,36.8107E-12,38.0304E-12,43.8314E-12,55.0917E-12,72.8588E-12
288.403,36.5847E-12,37.8826E-12,43.7382E-12,55.0297E-12,72.8102E-12
295.121,36.3626E-12,37.7375E-12,43.6470E-12,54.9690E-12,72.7626E-12
301.995,36.1442E-12,37.5952E-12,43.5576E-12,54.9097E-12,72.7162E-12
309.030,35.9294E-12,37.4557E-12,43.4701E-12,54.8516E-12,72.6707E-12
316.228,35.7183E-12,37.3188E-12,43.3844E-12,54.7948E-12,72.6263E-12
323.594,35.5108E-12,37.1845E-12,43.3005E-12,54.7393E-12,72.5829E-12
331.131,35.3069E-12,37.0528E-12,43.2184E-12,54.6849E-12,72.5404E-12
338.844,35.1064E-12,36.9237E-12,43.1380E-12,54.6318E-12,72.4988E-12
346.737,34.9094E-12,36.7971E-12,43.0592E-12,54.5798E-12,72.4582E-12
354.813,34.7158E-12,36.6729E-12,42.9822E-12,54.5289E-12,72.4185E-12
363.078,34.5256E-12,36.5512E-12,42.9067E-12,54.4791E-12,72.3797E-12
371.535,34.3387E-12,36.4318E-12,42.8328E-12,54.4305E-12,72.3417E-12
380.189,34.1550E-12,36.3148E-12,42.7605E-12,54.3829E-12,72.3046E-12
389.045,33.9746E-12,36.2000E-12,42.6897E-12,54.3363E-12,72.2683E-12
398.107,33.7973E-12,36.0875E-12,42.6205E-12,54.2908E-12,72.2328E-12
407.380,33.6232E-12,35.9773E-12,42.5526E-12,54.2463E-12,72.1981E-12
416.869,33.4522E-12,35.8692E-12,42.4863E-12,54.2027E-12,72.1642E-12
426.580,33.2842E-12,35.7633E-12,42.4213E-12,54.1601E-12,72.1310E-12
436.516,33.1192E-12,35.6594E-12,42.3577E-12,54.1184E-12,72.0986E-12
446.684,32.9571E-12,35.5577E-12,42.2955E-12,54.0777E-12,72.0669E-12
457.088,32.7980E-12,35.4580E-12,42.2346E-12,54.0378E-12,72.0359E-12
467.735,32.6417E-12,35.3603E-12,42.1750E-12,53.9989E-12,72.0056E-12
478.630,32.4883E-12,35.2645E-12,42.1166E-12,53.9608E-12,71.9759E-12
489.779,32.3377E-12,35.1707E-12,42.0596E-12,53.9235E-12,71.9470E-12
501.187,32.1898E-12,35.0787E-12,42.0037E-12,53.8871E-12,71.9187E-12
512.861,32.0446E-12,34.9887E-12,41.9491E-12,53.8514E-12,71.8910E-12
524.807,31.9021E-12,34.9004E-12,41.8956E-12,53.8166E-12,71.8639E-12
537.032,31.7622E-12,34.8139E-12,41.8433E-12,53.7825E-12,71.8375E-12
549.541,31.6249E-12,34.7292E-12,41.7921E-12,53.7492E-12,71.8116E-12
562.341,31.4902E-12,34.6463E-12,41.7420E-12,53.7166E-12,71.7863E-12
575.440,31.3579E-12,34.5650E-12,41.6929E-12,53.6847E-12,71.7616E-12
588.844,31.2282E-12,34.4854E-12,41.6450E-12,53.6536E-12,71.7374E-12
602.560,31.1008E-12,34.4074E-12,41.5981E-12,53.6231E-12,71.7138E-12
616.595,30.9759E-12,34.3310E-12,41.5522E-12,53.5933E-12,71.6907E-12
630.957,30.8533E-12,34.2562E-12,41.5073E-12,53.5642E-12,71.6682E-12
645.654,30.7330E-12,34.1830E-12,41.4634E-12,53.5357E-12,71.6461E-12
660.693,30.6150E-12,34.1113E-12,41.4204E-12,53.5079E-12,71.6245E-12
676.083,30.4993E-12,34.0410E-12,41.3784E-12,53.4807E-12,71.6035E-12
691.831,30.3857E-12,33.9722E-12,41.3372E-12,53.4540E-12,71.5828E-12
707.946,30.2744E-12,33.9048E-12,41.2970E-12,53.4280E-12,71.5627E-12
724.436,30.1651E-12,33.8389E-12,41.2577E-12,53.4026E-12,71.5430E-12
741.310,30.0580E-12,33.7743E-12,41.2192E-12,53.3777E-12,71.5238E-12
758.578,29.9529E-12,33.7111E-12,41.1815E-12,53.3534E-12,71.5049E-12
776.247,29.8499E-12,33.6492E-12,41.1447E-12,53.3296E-12,71.4865E-12
794.328,29.7489E-12,33.5886E-12,41.1087E-12,53.3064E-12,71.4686E-12
812.831,29.6498E-12,33.5292E-12,41.0735E-12,53.2836E-12,71.4510E-12
831.764,29.5527E-12,33.4712E-12,41.0390E-12,53.2614E-12,71.4338E-12
851.138,29.4575E-12,33.4143E-12,41.0053E-12,53.2397E-12,71.4170E-12
870.964,29.3641E-12,33.3586E-12,40.9723E-12,53.2184E-12,71.4006E-12
891.251,29.2726E-12,33.3042E-12,40.9401E-12,53.1977E-12,71.3846E-12
912.011,29.1829E-12,33.2508E-12,40.9086E-12,53.1774E-12,71.3689E-12
933.254,29.0950E-12,33.1986E-12,40.8778E-12,53.1575E-12,71.3536E-12
954.993,29.0088E-12,33.1475E-12,40.8476E-12,53.1381E-12,71.3386E-12
977.237,28.9243E-12,33.0975E-12,40.8181E-12,53.1192E-12,71.3239E-12
1.00000E3,28.8415E-12,33.0486E-12,40.7893E-12,53.1006E-12,71.3096E-12
1.02329E3,28.7604E-12,33.0007E-12,40.7611E-12,53.0825E-12,71.2956E-12
1.04713E3,28.6809E-12,32.9538E-12,40.7335E-12,53.0648E-12,71.2820E-12
1.07152E3,28.6029E-12,32.9080E-12,40.7066E-12,53.0475E-12,71.2686E-12
1.09648E3,28.5266E-12,32.8631E-12,40.6802E-12,53.0306E-12,71.2555E-12
1.12202E3,28.4518E-12,32.8192E-12,40.6544E-12,53.0140E-12,71.2428E-12
1.14815E3,28.3785E-12,32.7762E-12,40.6292E-12,52.9978E-12,71.2303E-12
1.17490E3,28.3067E-12,32.7341E-12,40.6045E-12,52.9820E-12,71.2181E-12
1.20226E3,28.2363E-12,32.6930E-12,40.5804E-12,52.9666E-12,71.2062E-12
1.23027E3,28.1674E-12,32.6527E-12,40.5568E-12,52.9514E-12,71.1945E-12
1.25893E3,28.0999E-12,32.6133E-12,40.5338E-12,52.9367E-12,71.1831E-12
1.28825E3,28.0337E-12,32.5748E-12,40.5113E-12,52.9222E-12,71.1720E-12
1.31826E3,27.9690E-12,32.5371E-12,40.4892E-12,52.9081E-12,71.1611E-12
1.34896E3,27.9055E-12,32.5002E-12,40.4677E-12,52.8943E-12,71.1505E-12
1.38038E3,27.8434E-12,32.4641E-12,40.4466E-12,52.8808E-12,71.1401E-12
1.41254E3,27.7825E-12,32.4288E-12,40.4260E-12,52.8677E-12,71.1299E-12
1.44544E3,27.7229E-12,32.3942E-12,40.4059E-12,52.8548E-12,71.1200E-12
1.47911E3,27.6645E-12,32.3604E-12,40.3862E-12,52.8422E-12,71.1103E-12
1.51356E3,27.6073E-12,32.3274E-12,40.3669E-12,52.8299E-12,71.1008E-12
1.54882E3,27.5513E-12,32.2950E-12,40.3481E-12,52.8178E-12,71.0915E-12
1.58489E3,27.4965E-12,32.2634E-12,40.3297E-12,52.8061E-12,71.0825E-12
1.62181E3,27.4429E-12,32.2324E-12,40.3117E-12,52.7946E-12,71.0736E-12
1.65959E3,27.3903E-12,32.2022E-12,40.2941E-12,52.7833E-12,71.0649E-12
1.69824E3,27.3388E-12,32.1726E-12,40.2769E-12,52.7723E-12,71.0565E-12
1.73780E3,27.2885E-12,32.1436E-12,40.2601E-12,52.7616E-12,71.0482E-12
1.77828E3,27.2391E-12,32.1153E-12,40.2437E-12,52.7511E-12,71.0401E-12
1.81970E3,27.1909E-12,32.0876E-12,40.2276E-12,52.7408E-12,71.0322E-12
1.86209E3,27.1436E-12,32.0605E-12,40.2119E-12,52.7308E-12,71.0245E-12
1.90546E3,27.0973E-12,32.0340E-12,40.1965E-12,52.7210E-12,71.0170E-12
1.94984E3,27.0520E-12,32.0080E-12,40.1815E-12,52.7114E-12,71.0096E-12
1.99526E3,27.0077E-12,31.9827E-12,40.1668E-12,52.7021E-12,71.0024E-12
2.04174E3,26.9643E-12,31.9579E-12,40.1525E-12,52.6929E-12,70.9954E-12
2.08930E3,26.9218E-12,31.9337E-12,40.1385E-12,52.6840E-12,70.9885E-12
2.13796E3,26.8802E-12,31.9099E-12,40.1247E-12,52.6752E-12,70.9818E-12
2.18776E3,26.8395E-12,31.8867E-12,40.1113E-12,52.6667E-12,70.9752E-12
2.23872E3,26.7997E-12,31.8641E-12,40.0982E-12,52.6584E-12,70.9688E-12
2.29087E3,26.7607E-12,31.8419E-12,40.0854E-12,52.6502E-12,70.9625E-12
2.34423E3,26.7226E-12,31.8202E-12,40.0729E-12,52.6422E-12,70.9563E-12
2.39883E3,26.6852E-12,31.7990E-12,40.0607E-12,52.6344E-12,70.9503E-12
2.45471E3,26.6487E-12,31.7782E-12,40.0487E-12,52.6268E-12,70.9445E-12
2.51189E3,26.6130E-12,31.7580E-12,40.0370E-12,52.6193E-12,70.9388E-12
2.57040E3,26.5780E-12,31.7381E-12,40.0256E-12,52.6121E-12,70.9332E-12
2.63027E3,26.5437E-12,31.7187E-12,40.0144E-12,52.6049E-12,70.9277E-12
2.69153E3,26.5103E-12,31.6998E-12,40.0035E-12,52.5980E-12,70.9223E-12
2.75423E3,26.4775E-12,31.6812E-12,39.9928E-12,52.5912E-12,70.9171E-12
2.81838E3,26.4454E-12,31.6631E-12,39.9823E-12,52.5846E-12,70.9120E-12
2.88403E3,26.4140E-12,31.6454E-12,39.9721E-12,52.5781E-12,70.9070E-12
2.95121E3,26.3834E-12,31.6280E-12,39.9622E-12,52.5717E-12,70.9021E-12
3.01995E3,26.3533E-12,31.6111E-12,39.9524E-12,52.5655E-12,70.8974E-12
3.09030E3,26.3239E-12,31.5945E-12,39.9429E-12,52.5595E-12,70.8927E-12
3.16228E3,26.2952E-12,31.5783E-12,39.9336E-12,52.5535E-12,70.8882E-12
3.23594E3,26.2671E-12,31.5625E-12,39.9244E-12,52.5477E-12,70.8837E-12
3.31131E3,26.2396E-12,31.5470E-12,39.9155E-12,52.5421E-12,70.8794E-12
3.38844E3,26.2127E-12,31.5318E-12,39.9068E-12,52.5365E-12,70.8751E-12
3.46737E3,26.1863E-12,31.5170E-12,39.8983E-12,52.5311E-12,70.8710E-12
3.54813E3,26.1606E-12,31.5026E-12,39.8900E-12,52.5259E-12,70.8669E-12
3.63078E3,26.1354E-12,31.4884E-12,39.8819E-12,52.5207E-12,70.8629E-12
3.71535E3,26.1108E-12,31.4746E-12,39.8740E-12,52.5157E-12,70.8590E-12
3.80189E3,26.0867E-12,31.4610E-12,39.8662E-12,52.5107E-12,70.8553E-12
3.89045E3,26.0631E-12,31.4478E-12,39.8586E-12,52.5059E-12,70.8516E-12
3.98107E3,26.0400E-12,31.4349E-12,39.8512E-12,52.5012E-12,70.8479E-12
4.07380E3,26.0175E-12,31.4222E-12,39.8440E-12,52.4966E-12,70.8444E-12
4.16869E3,25.9954E-12,31.4099E-12,39.8369E-12,52.4921E-12,70.8409E-12
4.26580E3,25.9739E-12,31.3978E-12,39.8299E-12,52.4877E-12,70.8376E-12
4.36516E3,25.9528E-12,31.3860E-12,39.8232E-12,52.4834E-12,70.8343E-12
4.46684E3,25.9321E-12,31.3744E-12,39.8166E-12,52.4792E-12,70.8310E-12
4.57088E3,25.9119E-12,31.3632E-12,39.8101E-12,52.4751E-12,70.8279E-12
4.67735E3,25.8922E-12,31.3521E-12,39.8038E-12,52.4711E-12,70.8248E-12
4.78630E3,25.8729E-12,31.3413E-12,39.7976E-12,52.4672E-12,70.8218E-12
4.89779E3,25.8540E-12,31.3308E-12,39.7916E-12,52.4633E-12,70.8188E-12
5.01187E3,25.8356E-12,31.3205E-12,39.7857E-12,52.4596E-12,70.8160E-12
5.12861E3,25.8175E-12,31.3104E-12,39.7799E-12,52.4559E-12,70.8132E-12
5.24807E3,25.7999E-12,31.3005E-12,39.7743E-12,52.4523E-12,70.8104E-12
5.37032E3,25.7826E-12,31.2909E-12,39.7688E-12,52.4488E-12,70.8077E-12
5.49541E3,25.7657E-12,31.2815E-12,39.7634E-12,52.4454E-12,70.8051E-12
5.62341E3,25.7492E-12,31.2723E-12,39.7581E-12,52.4421E-12,70.8025E-12
5.75440E3,25.7330E-12,31.2633E-12,39.7530E-12,52.4388E-12,70.8000E-12
5.88844E3,25.7173E-12,31.2545E-12,39.7479E-12,52.4356E-12,70.7976E-12
6.02560E3,25.7018E-12,31.2459E-12,39.7430E-12,52.4325E-12,70.7952E-12
6.16595E3,25.6867E-12,31.2375E-12,39.7382E-12,52.4295E-12,70.7929E-12
6.30957E3,25.6720E-12,31.2293E-12,39.7335E-12,52.4265E-12,70.7906E-12
6.45654E3,25.6575E-12,31.2213E-12,39.7289E-12,52.4236E-12,70.7883E-12
6.60693E3,25.6434E-12,31.2134E-12,39.7245E-12,52.4208E-12,70.7862E-12
6.76083E3,25.6296E-12,31.2058E-12,39.7201E-12,52.4180E-12,70.7840E-12
6.91831E3,25.6161E-12,31.1983E-12,39.7158E-12,52.4153E-12,70.7819E-12
7.07946E3,25.6030E-12,31.1909E-12,39.7116E-12,52.4126E-12,70.7799E-12
7.24436E3,25.5901E-12,31.1838E-12,39.7075E-12,52.4100E-12,70.7779E-12
7.41310E3,25.5775E-12,31.1768E-12,39.7035E-12,52.4075E-12,70.7760E-12
7.58578E3,25.5651E-12,31.1699E-12,39.6996E-12,52.4050E-12,70.7741E-12
7.76247E3,25.5531E-12,31.1632E-12,39.6958E-12,52.4026E-12,70.7722E-12
7.94328E3,25.5413E-12,31.1567E-12,39.6921E-12,52.4002E-12,70.7704E-12
8.12831E3,25.5298E-12,31.1503E-12,39.6884E-12,52.3979E-12,70.7686E-12
8.31764E3,25.5185E-12,31.1441E-12,39.6849E-12,52.3956E-12,70.7669E-12
8.51138E3,25.5075E-12,31.1380E-12,39.6814E-12,52.3934E-12,70.7652E-12
8.70964E3,25.4967E-12,31.1320E-12,39.6780E-12,52.3913E-12,70.7635E-12
8.91251E3,25.4862E-12,31.1262E-12,39.6746E-12,52.3892E-12,70.7619E-12
9.12011E3,25.4759E-12,31.1204E-12,39.6714E-12,52.3871E-12,70.7603E-12
9.33254E3,25.4658E-12,31.1149E-12,39.6682E-12,52.3851E-12,70.7588E-12
9.54993E3,25.4560E-12,31.1094E-12,39.6651E-12,52.3831E-12,70.7573E-12
9.77237E3,25.4464E-12,31.1041E-12,39.6621E-12,52.3812E-12,70.7558E-12
10.0000E3,25.4370E-12,31.0989E-12,39.6591E-12,52.3793E-12,70.7544E-12
10.2329E3,25.4278E-12,31.0938E-12,39.6562E-12,52.3775E-12,70.7529E-12
10.4713E3,25.4188E-12,31.0888E-12,39.6534E-12,52.3757E-12,70.7516E-12
10.7152E3,25.4100E-12,31.0840E-12,39.6506E-12,52.3739E-12,70.7502E-12
10.9648E3,25.4015E-12,31.0792E-12,39.6479E-12,52.3722E-12,70.7489E-12
11.2202E3,25.3931E-12,31.0746E-12,39.6453E-12,52.3706E-12,70.7476E-12
11.4815E3,25.3849E-12,31.0701E-12,39.6427E-12,52.3689E-12,70.7464E-12
11.7490E3,25.3768E-12,31.0656E-12,39.6401E-12,52.3673E-12,70.7451E-12
12.0226E3,25.3690E-12,31.0613E-12,39.6377E-12,52.3657E-12,70.7439E-12
12.3027E3,25.3613E-12,31.0571E-12,39.6353E-12,52.3642E-12,70.7428E-12
12.5893E3,25.3539E-12,31.0529E-12,39.6329E-12,52.3627E-12,70.7416E-12
12.8825E3,25.3465E-12,31.0489E-12,39.6306E-12,52.3613E-12,70.7405E-12
13.1826E3,25.3394E-12,31.0449E-12,39.6283E-12,52.3598E-12,70.7394E-12
13.4896E3,25.3324E-12,31.0410E-12,39.6261E-12,52.3584E-12,70.7383E-12
13.8038E3,25.3255E-12,31.0373E-12,39.6240E-12,52.3571E-12,70.7373E-12
14.1254E3,25.3189E-12,31.0336E-12,39.6219E-12,52.3558E-12,70.7363E-12
14.4544E3,25.3123E-12,31.0300E-12,39.6198E-12,52.3545E-12,70.7353E-12
14.7911E3,25.3059E-12,31.0264E-12,39.6178E-12,52.3532E-12,70.7343E-12
15.1356E3,25.2997E-12,31.0230E-12,39.6159E-12,52.3519E-12,70.7333E-12
15.4882E3,25.2936E-12,31.0196E-12,39.6139E-12,52.3507E-12,70.7324E-12
15.8489E3,25.2876E-12,31.0163E-12,39.6121E-12,52.3495E-12,70.7315E-12
16.2181E3,25.2818E-12,31.0131E-12,39.6102E-12,52.3484E-12,70.7306E-12
16.5959E3,25.2761E-12,31.0100E-12,39.6085E-12,52.3472E-12,70.7297E-12
16.9824E3,25.2705E-12,31.0069E-12,39.6067E-12,52.3461E-12,70.7289E-12
17.3780E3,25.2651E-12,31.0039E-12,39.6050E-12,52.3451E-12,70.7281E-12
17.7828E3,25.2597E-12,31.0010E-12,39.6033E-12,52.3440E-12,70.7272E-12
18.1970E3,25.2545E-12,30.9981E-12,39.6017E-12,52.3430E-12,70.7265E-12
18.6209E3,25.2495E-12,30.9953E-12,39.6001E-12,52.3420E-12,70.7257E-12
19.0546E3,25.2445E-12,30.9925E-12,39.5985E-12,52.3410E-12,70.7249E-12
19.4984E3,25.2396E-12,30.9899E-12,39.5970E-12,52.3400E-12,70.7242E-12
19.9526E3,25.2349E-12,30.9873E-12,39.5955E-12,52.3391E-12,70.7235E-12
20.4174E3,25.2302E-12,30.9847E-12,39.5941E-12,52.3381E-12,70.7227E-12
20.8930E3,25.2257E-12,30.9822E-12,39.5926E-12,52.3372E-12,70.7221E-12
21.3796E3,25.2213E-12,30.9798E-12,39.5913E-12,52.3364E-12,70.7214E-12
21.8776E3,25.2169E-12,30.9774E-12,39.5899E-12,52.3355E-12,70.7207E-12
22.3872E3,25.2127E-12,30.9750E-12,39.5886E-12,52.3347E-12,70.7201E-12
22.9087E3,25.2086E-12,30.9727E-12,39.5873E-12,52.3338E-12,70.7194E-12
23.4423E3,25.2045E-12,30.9705E-12,39.5860E-12,52.3330E-12,70.7188E-12
23.9883E3,25.2006E-12,30.9683E-12,39.5848E-12,52.3322E-12,70.7182E-12
24.5471E3,25.1967E-12,30.9662E-12,39.5836E-12,52.3315E-12,70.7176E-12
25.1189E3,25.1929E-12,30.9641E-12,39.5824E-12,52.3307E-12,70.7171E-12
25.7040E3,25.1892E-12,30.9621E-12,39.5812E-12,52.3300E-12,70.7165E-12
26.3027E3,25.1856E-12,30.9601E-12,39.5801E-12,52.3293E-12,70.7160E-12
26.9153E3,25.1821E-12,30.9582E-12,39.5790E-12,52.3286E-12,70.7154E-12
27.5423E3,25.1786E-12,30.9563E-12,39.5779E-12,52.3279E-12,70.7149E-12
28.1838E3,25.1753E-12,30.9544E-12,39.5768E-12,52.3272E-12,70.7144E-12
28.8403E3,25.1720E-12,30.9526E-12,39.5758E-12,52.3266E-12,70.7139E-12
29.5121E3,25.1687E-12,30.9508E-12,39.5748E-12,52.3259E-12,70.7134E-12
30.1995E3,25.1656E-12,30.9491E-12,39.5738E-12,52.3253E-12,70.7129E-12
30.9030E3,25.1625E-12,30.9474E-12,39.5729E-12,52.3247E-12,70.7124E-12
31.6228E3,25.1595E-12,30.9458E-12,39.5719E-12,52.3241E-12,70.7120E-12
32.3594E3,25.1566E-12,30.9441E-12,39.5710E-12,52.3235E-12,70.7115E-12
33.1131E3,25.1537E-12,30.9426E-12,39.5701E-12,52.3230E-12,70.7111E-12
33.8844E3,25.1509E-12,30.9410E-12,39.5692E-12,52.3224E-12,70.7107E-12
34.6737E3,25.1482E-12,30.9395E-12,39.5684E-12,52.3219E-12,70.7103E-12
35.4813E3,25.1455E-12,30.9380E-12,39.5675E-12,52.3213E-12,70.7099E-12
36.3078E3,25.1429E-12,30.9366E-12,39.5667E-12,52.3208E-12,70.7095E-12
37.1535E3,25.1403E-12,30.9352E-12,39.5659E-12,52.3203E-12,70.7091E-12
38.0189E3,25.1378E-12,30.9338E-12,39.5651E-12,52.3198E-12,70.7087E-12
38.9045E3,25.1354E-12,30.9325E-12,39.5644E-12,52.3193E-12,70.7083E-12
39.8107E3,25.1330E-12,30.9311E-12,39.5636E-12,52.3189E-12,70.7080E-12
40.7380E3,25.1306E-12,30.9299E-12,39.5629E-12,52.3184E-12,70.7076E-12
41.6869E3,25.1284E-12,30.9286E-12,39.5622E-12,52.3180E-12,70.7073E-12
42.6580E3,25.1261E-12,30.9274E-12,39.5615E-12,52.3175E-12,70.7069E-12
43.6516E3,25.1239E-12,30.9262E-12,39.5608E-12,52.3171E-12,70.7066E-12
44.6684E3,25.1218E-12,30.9250E-12,39.5601E-12,52.3167E-12,70.7063E-12
45.7088E3,25.1197E-12,30.9239E-12,39.5595E-12,52.3162E-12,70.7060E-12
46.7735E3,25.1177E-12,30.9227E-12,39.5588E-12,52.3158E-12,70.7056E-12
47.8630E3,25.1157E-12,30.9217E-12,39.5582E-12,52.3155E-12,70.7053E-12
48.9779E3,25.1138E-12,30.9206E-12,39.5576E-12,52.3151E-12,70.7050E-12
50.1187E3,25.1119E-12,30.9195E-12,39.5570E-12,52.3147E-12,70.7048E-12
51.2861E3,25.1100E-12,30.9185E-12,39.5564E-12,52.3143E-12,70.7045E-12
52.4807E3,25.1082E-12,30.9175E-12,39.5559E-12,52.3140E-12,70.7042E-12
53.7032E3,25.1064E-12,30.9165E-12,39.5553E-12,52.3136E-12,70.7039E-12
54.9541E3,25.1047E-12,30.9156E-12,39.5548E-12,52.3133E-12,70.7037E-12
56.2341E3,25.1030E-12,30.9147E-12,39.5542E-12,52.3129E-12,70.7034E-12
57.5440E3,25.1013E-12,30.9138E-12,39.5537E-12,52.3126E-12,70.7032E-12
58.8844E3,25.0997E-12,30.9129E-12,39.5532E-12,52.3123E-12,70.7029E-12
60.2560E3,25.0981E-12,30.9120E-12,39.5527E-12,52.3120E-12,70.7027E-12
61.6595E3,25.0966E-12,30.9111E-12,39.5523E-12,52.3117E-12,70.7024E-12
63.0957E3,25.0951E-12,30.9103E-12,39.5518E-12,52.3114E-12,70.7022E-12
64.5654E3,25.0936E-12,30.9095E-12,39.5513E-12,52.3111E-12,70.7020E-12
66.0693E3,25.0922E-12,30.9087E-12,39.5509E-12,52.3108E-12,70.7018E-12
67.6083E3,25.0907E-12,30.9079E-12,39.5504E-12,52.3105E-12,70.7016E-12
69.1831E3,25.0894E-12,30.9072E-12,39.5500E-12,52.3102E-12,70.7014E-12
70.7946E3,25.0880E-12,30.9064E-12,39.5496E-12,52.3100E-12,70.7011E-12
72.4436E3,25.0867E-12,30.9057E-12,39.5492E-12,52.3097E-12,70.7009E-12
74.1310E3,25.0854E-12,30.9050E-12,39.5488E-12,52.3095E-12,70.7008E-12
75.8578E3,25.0842E-12,30.9043E-12,39.5484E-12,52.3092E-12,70.7006E-12
77.6247E3,25.0829E-12,30.9036E-12,39.5480E-12,52.3090E-12,70.7004E-12
79.4328E3,25.0817E-12,30.9030E-12,39.5476E-12,52.3087E-12,70.7002E-12
81.2831E3,25.0806E-12,30.9023E-12,39.5473E-12,52.3085E-12,70.7000E-12
83.1764E3,25.0794E-12,30.9017E-12,39.5469E-12,52.3083E-12,70.6998E-12
85.1138E3,25.0783E-12,30.9011E-12,39.5465E-12,52.3081E-12,70.6997E-12
87.0964E3,25.0772E-12,30.9005E-12,39.5462E-12,52.3078E-12,70.6995E-12
89.1251E3,25.0761E-12,30.8999E-12,39.5459E-12,52.3076E-12,70.6993E-12
91.2011E3,25.0751E-12,30.8993E-12,39.5455E-12,52.3074E-12,70.6992E-12
93.3254E3,25.0741E-12,30.8988E-12,39.5452E-12,52.3072E-12,70.6990E-12
95.4993E3,25.0731E-12,30.8982E-12,39.5449E-12,52.3070E-12,70.6989E-12
97.7237E3,25.0721E-12,30.8977E-12,39.5446E-12,52.3068E-12,70.6987E-12
100.000E3,25.0711E-12,30.8972E-12,39.5443E-12,52.3066E-12,70.6986E-12
102.329E3,25.0702E-12,30.8967E-12,39.5440E-12,52.3065E-12,70.6984E-12
104.713E3,25.0693E-12,30.8962E-12,39.5437E-12,52.3063E-12,70.6983E-12
107.152E3,25.0684E-12,30.8957E-12,39.5435E-12,52.3061E-12,70.6982E-12
109.648E3,25.0675E-12,30.8952E-12,39.5432E-12,52.3059E-12,70.6980E-12
112.202E3,25.0667E-12,30.8947E-12,39.5429E-12,52.3058E-12,70.6979E-12
114.815E3,25.0659E-12,30.8943E-12,39.5427E-12,52.3056E-12,70.6978E-12
117.490E3,25.0650E-12,30.8938E-12,39.5424E-12,52.3054E-12,70.6977E-12
120.226E3,25.0642E-12,30.8934E-12,39.5422E-12,52.3053E-12,70.6975E-12
123.027E3,25.0635E-12,30.8930E-12,39.5419E-12,52.3051E-12,70.6974E-12
125.893E3,25.0627E-12,30.8925E-12,39.5417E-12,52.3050E-12,70.6973E-12
