freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
7.07946E9,23.0565E-12,26.5606E-12,30.1703E-12,31.6766E-12,29.7968E-12
7.24436E9,23.0484E-12,26.5311E-12,30.0652E-12,31.4339E-12,29.4902E-12
7.41310E9,23.0382E-12,26.4951E-12,29.9446E-12,31.1695E-12,29.1682E-12
7.58578E9,23.0254E-12,26.4519E-12,29.8073E-12,30.8837E-12,28.8328E-12
7.76247E9,23.0100E-12,26.4008E-12,29.6528E-12,30.5780E-12,28.4870E-12
7.94328E9,22.9917E-12,26.3417E-12,29.4814E-12,30.2554E-12,28.1347E-12
8.12831E9,22.9706E-12,26.2745E-12,29.2947E-12,29.9200E-12,27.7804E-12
8.31764E9,22.9467E-12,26.1999E-12,29.0949E-12,29.5769E-12,27.4292E-12
8.51138E9,22.9204E-12,26.1186E-12,28.8851E-12,29.2317E-12,27.0863E-12
8.70964E9,22.8921E-12,26.0321E-12,28.6690E-12,28.8902E-12,26.7563E-12
8.91251E9,22.8622E-12,25.9418E-12,28.4505E-12,28.5577E-12,26.4435E-12
9.12011E9,22.8314E-12,25.8496E-12,28.2338E-12,28.2393E-12,26.1511E-12
9.33254E9,22.8003E-12,25.7572E-12,28.0227E-12,27.9389E-12,25.8815E-12
9.54993E9,22.7696E-12,25.6667E-12,27.8206E-12,27.6596E-12,25.6360E-12
9.77237E9,22.7399E-12,25.5796E-12,27.6304E-12,27.4031E-12,25.4148E-12
10.0000E9,22.7117E-12,25.4974E-12,27.4541E-12,27.1702E-12,25.2172E-12
