freq (Hz),leafValue( getData("out" ?result "noise") "b" 8 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 4 ) (A / sqrt(Hz))
1.00000,1.01292E-9,405.662E-12,364.505E-12,298.369E-12,294.551E-12,492.639E-12,417.556E-12,326.205E-12,293.880E-12,290.319E-12,455.305E-12,413.026E-12,321.605E-12,292.142E-12,288.516E-12,478.759E-12,385.489E-12,320.292E-12,291.349E-12,287.540E-12,511.923E-12,378.182E-12,319.714E-12,290.878E-12,286.938E-12,512.628E-12,375.828E-12,319.398E-12,290.570E-12,286.538E-12,487.082E-12,374.835E-12,319.215E-12,290.362E-12,286.257E-12,470.551E-12,374.338E-12,319.086E-12,290.206E-12,286.051E-12,462.742E-12,374.059E-12,318.995E-12,290.089E-12,285.896E-12
1.02329,1.00133E-9,401.041E-12,360.391E-12,295.060E-12,291.370E-12,487.011E-12,412.804E-12,322.528E-12,290.622E-12,287.186E-12,450.107E-12,408.329E-12,317.981E-12,288.902E-12,285.403E-12,473.293E-12,381.107E-12,316.682E-12,288.117E-12,284.437E-12,506.079E-12,373.883E-12,316.109E-12,287.651E-12,283.842E-12,506.777E-12,371.556E-12,315.797E-12,287.346E-12,283.446E-12,481.523E-12,370.575E-12,315.615E-12,287.140E-12,283.168E-12,465.182E-12,370.082E-12,315.488E-12,286.986E-12,282.964E-12,457.461E-12,369.806E-12,315.397E-12,286.870E-12,282.811E-12
1.04713,989.875E-12,396.473E-12,356.325E-12,291.791E-12,288.228E-12,481.448E-12,408.107E-12,318.895E-12,287.403E-12,284.091E-12,444.968E-12,403.686E-12,314.398E-12,285.701E-12,282.328E-12,467.890E-12,376.776E-12,313.113E-12,284.925E-12,281.372E-12,500.301E-12,369.634E-12,312.547E-12,284.463E-12,280.784E-12,500.992E-12,367.333E-12,312.238E-12,284.161E-12,280.392E-12,476.028E-12,366.363E-12,312.058E-12,283.957E-12,280.117E-12,459.874E-12,365.876E-12,311.931E-12,283.804E-12,279.915E-12,452.242E-12,365.603E-12,311.842E-12,283.689E-12,279.763E-12
1.07152,978.549E-12,391.958E-12,352.306E-12,288.560E-12,285.124E-12,475.949E-12,403.465E-12,315.303E-12,284.221E-12,281.033E-12,439.889E-12,399.096E-12,310.858E-12,282.538E-12,279.290E-12,462.549E-12,372.494E-12,309.587E-12,281.769E-12,278.344E-12,494.590E-12,365.434E-12,309.026E-12,281.312E-12,277.762E-12,495.274E-12,363.159E-12,308.720E-12,281.013E-12,277.375E-12,470.596E-12,362.200E-12,308.541E-12,280.811E-12,277.102E-12,454.627E-12,361.718E-12,308.416E-12,280.659E-12,276.902E-12,447.082E-12,361.448E-12,308.327E-12,280.545E-12,276.752E-12
1.09648,967.353E-12,387.495E-12,348.334E-12,285.368E-12,282.057E-12,470.513E-12,398.875E-12,311.754E-12,281.077E-12,278.013E-12,434.868E-12,394.560E-12,307.358E-12,279.413E-12,276.288E-12,457.269E-12,368.262E-12,306.101E-12,278.651E-12,275.353E-12,488.944E-12,361.283E-12,305.546E-12,278.199E-12,274.777E-12,489.621E-12,359.033E-12,305.243E-12,277.902E-12,274.394E-12,465.226E-12,358.085E-12,305.066E-12,277.702E-12,274.124E-12,449.440E-12,357.608E-12,304.942E-12,277.552E-12,273.926E-12,441.982E-12,357.341E-12,304.853E-12,277.439E-12,273.777E-12
1.12202,956.285E-12,383.083E-12,344.408E-12,282.213E-12,279.028E-12,465.139E-12,394.339E-12,308.246E-12,277.971E-12,275.030E-12,429.904E-12,390.075E-12,303.900E-12,276.324E-12,273.324E-12,452.050E-12,364.079E-12,302.656E-12,275.570E-12,272.399E-12,483.364E-12,357.179E-12,302.107E-12,275.123E-12,271.829E-12,484.034E-12,354.955E-12,301.807E-12,274.829E-12,271.449E-12,459.918E-12,354.017E-12,301.631E-12,274.630E-12,271.182E-12,444.313E-12,353.545E-12,301.508E-12,274.481E-12,270.987E-12,436.940E-12,353.281E-12,301.420E-12,274.369E-12,270.839E-12
1.14815,945.343E-12,378.722E-12,340.527E-12,279.096E-12,276.035E-12,459.827E-12,389.855E-12,304.778E-12,274.901E-12,272.082E-12,424.998E-12,385.643E-12,300.481E-12,273.272E-12,270.395E-12,446.891E-12,359.944E-12,299.251E-12,272.526E-12,269.480E-12,477.847E-12,353.122E-12,298.707E-12,272.082E-12,268.916E-12,478.510E-12,350.924E-12,298.410E-12,271.791E-12,268.540E-12,454.671E-12,349.996E-12,298.236E-12,271.595E-12,268.276E-12,439.245E-12,349.530E-12,298.114E-12,271.447E-12,268.083E-12,431.956E-12,349.268E-12,298.027E-12,271.336E-12,267.936E-12
1.17490,934.527E-12,374.411E-12,336.692E-12,276.016E-12,273.079E-12,454.576E-12,385.422E-12,301.351E-12,271.867E-12,269.171E-12,420.147E-12,381.261E-12,297.102E-12,270.256E-12,267.502E-12,441.791E-12,355.857E-12,295.885E-12,269.518E-12,266.597E-12,472.394E-12,349.113E-12,295.348E-12,269.078E-12,266.039E-12,473.050E-12,346.939E-12,295.053E-12,268.790E-12,265.667E-12,449.485E-12,346.022E-12,294.881E-12,268.595E-12,265.405E-12,434.235E-12,345.560E-12,294.759E-12,268.449E-12,265.214E-12,427.030E-12,345.301E-12,294.673E-12,268.339E-12,265.069E-12
1.20226,923.835E-12,370.149E-12,332.901E-12,272.972E-12,270.159E-12,449.385E-12,381.041E-12,297.964E-12,268.870E-12,266.295E-12,415.353E-12,376.930E-12,293.763E-12,267.275E-12,264.645E-12,436.749E-12,351.816E-12,292.559E-12,266.545E-12,263.749E-12,467.003E-12,345.150E-12,292.027E-12,266.110E-12,263.197E-12,467.653E-12,343.000E-12,291.735E-12,265.824E-12,262.829E-12,444.357E-12,342.093E-12,291.564E-12,265.631E-12,262.570E-12,429.283E-12,341.637E-12,291.444E-12,265.486E-12,262.380E-12,422.160E-12,341.381E-12,291.358E-12,265.377E-12,262.237E-12
1.23027,913.265E-12,365.937E-12,329.155E-12,269.964E-12,267.275E-12,444.253E-12,376.710E-12,294.617E-12,265.908E-12,263.454E-12,410.613E-12,372.649E-12,290.463E-12,264.331E-12,261.822E-12,431.766E-12,347.823E-12,289.272E-12,263.607E-12,260.936E-12,461.674E-12,341.232E-12,288.745E-12,263.177E-12,260.390E-12,462.317E-12,339.107E-12,288.456E-12,262.893E-12,260.025E-12,439.289E-12,338.210E-12,288.286E-12,262.702E-12,259.769E-12,424.387E-12,337.759E-12,288.167E-12,262.558E-12,259.581E-12,417.346E-12,337.505E-12,288.082E-12,262.450E-12,259.439E-12
1.25893,902.817E-12,361.773E-12,325.452E-12,266.992E-12,264.425E-12,439.181E-12,372.429E-12,291.308E-12,262.981E-12,260.648E-12,405.928E-12,368.417E-12,287.201E-12,261.421E-12,259.034E-12,426.839E-12,343.875E-12,286.023E-12,260.705E-12,258.157E-12,456.406E-12,337.360E-12,285.501E-12,260.278E-12,257.617E-12,457.043E-12,335.259E-12,285.215E-12,259.998E-12,257.256E-12,434.279E-12,334.372E-12,285.047E-12,259.808E-12,257.002E-12,419.548E-12,333.925E-12,284.929E-12,259.665E-12,256.816E-12,412.587E-12,333.674E-12,284.844E-12,259.558E-12,256.676E-12
1.28825,892.487E-12,357.657E-12,321.792E-12,264.056E-12,261.611E-12,434.166E-12,368.197E-12,288.038E-12,260.089E-12,257.877E-12,401.297E-12,364.235E-12,283.977E-12,258.545E-12,256.280E-12,421.970E-12,339.974E-12,282.812E-12,257.837E-12,255.413E-12,451.199E-12,333.532E-12,282.295E-12,257.414E-12,254.878E-12,451.830E-12,331.455E-12,282.012E-12,257.136E-12,254.521E-12,429.327E-12,330.577E-12,281.845E-12,256.948E-12,254.270E-12,414.764E-12,330.136E-12,281.728E-12,256.807E-12,254.085E-12,407.883E-12,329.887E-12,281.644E-12,256.700E-12,253.946E-12
1.31826,882.277E-12,353.589E-12,318.175E-12,261.154E-12,258.831E-12,429.210E-12,364.014E-12,284.806E-12,257.232E-12,255.139E-12,396.719E-12,360.100E-12,280.791E-12,255.704E-12,253.560E-12,417.156E-12,336.117E-12,279.638E-12,255.003E-12,252.702E-12,446.052E-12,329.749E-12,279.127E-12,254.584E-12,252.172E-12,446.676E-12,327.695E-12,278.846E-12,254.309E-12,251.819E-12,424.431E-12,326.827E-12,278.681E-12,254.122E-12,251.570E-12,410.035E-12,326.390E-12,278.564E-12,253.982E-12,251.388E-12,403.233E-12,326.145E-12,278.481E-12,253.877E-12,251.250E-12
1.34896,872.183E-12,349.567E-12,314.600E-12,258.287E-12,256.086E-12,424.310E-12,359.880E-12,281.612E-12,254.408E-12,252.435E-12,392.193E-12,356.013E-12,277.642E-12,252.897E-12,250.873E-12,412.397E-12,332.304E-12,276.501E-12,252.203E-12,250.024E-12,440.963E-12,326.009E-12,275.995E-12,251.788E-12,249.500E-12,441.582E-12,323.979E-12,275.717E-12,251.515E-12,249.150E-12,419.592E-12,323.120E-12,275.553E-12,251.330E-12,248.904E-12,405.361E-12,322.688E-12,275.438E-12,251.191E-12,248.724E-12,398.637E-12,322.445E-12,275.355E-12,251.086E-12,248.587E-12
1.38038,862.205E-12,345.592E-12,311.066E-12,255.454E-12,253.374E-12,419.466E-12,355.793E-12,278.455E-12,251.619E-12,249.764E-12,387.720E-12,351.974E-12,274.529E-12,250.123E-12,248.219E-12,407.694E-12,328.536E-12,273.401E-12,249.436E-12,247.379E-12,435.933E-12,322.313E-12,272.900E-12,249.025E-12,246.861E-12,436.546E-12,320.305E-12,272.625E-12,248.755E-12,246.515E-12,414.808E-12,319.456E-12,272.462E-12,248.571E-12,246.271E-12,400.740E-12,319.029E-12,272.348E-12,248.433E-12,246.092E-12,394.093E-12,318.788E-12,272.266E-12,248.330E-12,245.957E-12
1.41254,852.341E-12,341.663E-12,307.574E-12,252.655E-12,250.695E-12,414.678E-12,351.753E-12,275.336E-12,248.862E-12,247.126E-12,383.298E-12,347.981E-12,271.453E-12,247.383E-12,245.598E-12,403.044E-12,324.812E-12,270.337E-12,246.702E-12,244.767E-12,430.961E-12,318.659E-12,269.842E-12,246.295E-12,244.254E-12,431.568E-12,316.674E-12,269.569E-12,246.027E-12,243.911E-12,410.079E-12,315.834E-12,269.407E-12,245.845E-12,243.670E-12,396.173E-12,315.411E-12,269.294E-12,245.709E-12,243.493E-12,389.601E-12,315.173E-12,269.212E-12,245.606E-12,243.359E-12
1.44544,842.590E-12,337.779E-12,304.123E-12,249.889E-12,248.050E-12,409.945E-12,347.760E-12,272.252E-12,246.139E-12,244.521E-12,378.926E-12,344.034E-12,268.414E-12,244.675E-12,243.010E-12,398.447E-12,321.130E-12,267.309E-12,244.001E-12,242.187E-12,426.046E-12,315.047E-12,266.819E-12,243.598E-12,241.679E-12,426.647E-12,313.085E-12,266.548E-12,243.332E-12,241.340E-12,405.405E-12,312.255E-12,266.388E-12,243.152E-12,241.101E-12,391.658E-12,311.836E-12,266.275E-12,243.016E-12,240.926E-12,385.162E-12,311.600E-12,266.195E-12,242.914E-12,240.794E-12
1.47911,832.950E-12,333.939E-12,300.712E-12,247.157E-12,245.437E-12,405.266E-12,343.813E-12,269.205E-12,243.448E-12,241.948E-12,374.605E-12,340.133E-12,265.409E-12,241.999E-12,240.453E-12,393.904E-12,317.491E-12,264.317E-12,241.332E-12,239.639E-12,421.188E-12,311.478E-12,263.831E-12,240.933E-12,239.137E-12,421.783E-12,309.537E-12,263.563E-12,240.669E-12,238.801E-12,400.784E-12,308.716E-12,263.404E-12,240.491E-12,238.564E-12,387.195E-12,308.302E-12,263.292E-12,240.356E-12,238.391E-12,380.773E-12,308.069E-12,263.212E-12,240.255E-12,238.260E-12
1.51356,823.422E-12,330.144E-12,297.340E-12,244.457E-12,242.856E-12,400.641E-12,339.912E-12,266.193E-12,240.789E-12,239.407E-12,370.334E-12,336.276E-12,262.440E-12,239.356E-12,237.928E-12,389.412E-12,313.894E-12,261.359E-12,238.695E-12,237.123E-12,416.385E-12,307.949E-12,260.878E-12,238.299E-12,236.625E-12,416.974E-12,306.030E-12,260.613E-12,238.038E-12,236.293E-12,396.217E-12,305.218E-12,260.455E-12,237.861E-12,236.059E-12,382.783E-12,304.809E-12,260.344E-12,237.728E-12,235.887E-12,376.435E-12,304.578E-12,260.264E-12,237.627E-12,235.757E-12
1.54882,814.002E-12,326.393E-12,294.009E-12,241.789E-12,240.308E-12,396.069E-12,336.055E-12,263.217E-12,238.162E-12,236.897E-12,366.112E-12,332.465E-12,259.506E-12,236.744E-12,235.434E-12,384.973E-12,310.338E-12,258.436E-12,236.089E-12,234.638E-12,411.638E-12,304.461E-12,257.960E-12,235.697E-12,234.145E-12,412.221E-12,302.564E-12,257.697E-12,235.439E-12,233.816E-12,391.702E-12,301.761E-12,257.541E-12,235.263E-12,233.584E-12,378.422E-12,301.356E-12,257.430E-12,235.131E-12,233.414E-12,372.146E-12,301.127E-12,257.351E-12,235.031E-12,233.285E-12
1.58489,804.690E-12,322.685E-12,290.716E-12,239.154E-12,237.791E-12,391.550E-12,332.243E-12,260.275E-12,235.566E-12,234.419E-12,361.938E-12,328.697E-12,256.606E-12,234.163E-12,232.972E-12,380.584E-12,306.824E-12,255.548E-12,233.515E-12,232.183E-12,406.945E-12,301.014E-12,255.076E-12,233.127E-12,231.696E-12,407.523E-12,299.138E-12,254.815E-12,232.871E-12,231.370E-12,387.239E-12,298.344E-12,254.660E-12,232.696E-12,231.141E-12,374.111E-12,297.943E-12,254.551E-12,232.565E-12,230.972E-12,367.907E-12,297.717E-12,254.472E-12,232.466E-12,230.844E-12
1.62181,795.485E-12,319.020E-12,287.461E-12,236.550E-12,235.305E-12,387.082E-12,328.476E-12,257.368E-12,233.002E-12,231.971E-12,357.812E-12,324.973E-12,253.740E-12,231.614E-12,230.540E-12,376.246E-12,303.351E-12,252.693E-12,230.972E-12,229.760E-12,402.306E-12,297.607E-12,252.226E-12,230.587E-12,229.277E-12,402.878E-12,295.752E-12,251.967E-12,230.333E-12,228.955E-12,382.827E-12,294.966E-12,251.814E-12,230.160E-12,228.727E-12,369.850E-12,294.570E-12,251.705E-12,230.030E-12,228.560E-12,363.717E-12,294.346E-12,251.627E-12,229.931E-12,228.434E-12
1.65959,786.385E-12,315.397E-12,284.245E-12,233.977E-12,232.851E-12,382.666E-12,324.751E-12,254.495E-12,230.469E-12,229.554E-12,353.734E-12,321.292E-12,250.907E-12,229.095E-12,228.138E-12,371.957E-12,299.917E-12,249.872E-12,228.459E-12,227.366E-12,397.721E-12,294.239E-12,249.409E-12,228.078E-12,226.888E-12,398.287E-12,292.405E-12,249.153E-12,227.826E-12,226.569E-12,378.466E-12,291.628E-12,249.001E-12,227.655E-12,226.344E-12,365.637E-12,291.235E-12,248.893E-12,227.525E-12,226.179E-12,359.575E-12,291.014E-12,248.815E-12,227.428E-12,226.053E-12
1.69824,777.390E-12,311.815E-12,281.066E-12,231.435E-12,230.427E-12,378.301E-12,321.070E-12,251.656E-12,227.965E-12,227.167E-12,349.702E-12,317.654E-12,248.108E-12,226.606E-12,225.766E-12,367.718E-12,296.524E-12,247.083E-12,225.976E-12,225.002E-12,393.188E-12,290.910E-12,246.625E-12,225.599E-12,224.530E-12,393.749E-12,289.096E-12,246.371E-12,225.349E-12,224.214E-12,374.155E-12,288.328E-12,246.220E-12,225.179E-12,223.990E-12,361.474E-12,287.940E-12,246.113E-12,225.051E-12,223.827E-12,355.480E-12,287.720E-12,246.036E-12,224.954E-12,223.703E-12
1.73780,768.497E-12,308.275E-12,277.925E-12,228.924E-12,228.033E-12,373.985E-12,317.431E-12,248.850E-12,225.493E-12,224.810E-12,345.717E-12,314.058E-12,245.342E-12,224.147E-12,223.424E-12,363.528E-12,293.169E-12,244.328E-12,223.524E-12,222.668E-12,388.707E-12,287.619E-12,243.874E-12,223.149E-12,222.200E-12,389.263E-12,285.826E-12,243.623E-12,222.902E-12,221.887E-12,369.894E-12,285.066E-12,243.473E-12,222.733E-12,221.666E-12,357.358E-12,284.682E-12,243.366E-12,222.606E-12,221.504E-12,351.433E-12,284.465E-12,243.289E-12,222.510E-12,221.381E-12
1.77828,759.707E-12,304.776E-12,274.820E-12,226.443E-12,225.669E-12,369.720E-12,313.835E-12,246.077E-12,223.049E-12,222.482E-12,341.778E-12,310.503E-12,242.608E-12,221.718E-12,221.111E-12,359.385E-12,289.854E-12,241.605E-12,221.101E-12,220.363E-12,384.278E-12,284.367E-12,241.155E-12,220.730E-12,219.900E-12,384.828E-12,282.594E-12,240.906E-12,220.484E-12,219.590E-12,365.682E-12,281.843E-12,240.757E-12,220.317E-12,219.371E-12,353.289E-12,281.462E-12,240.651E-12,220.190E-12,219.211E-12,347.432E-12,281.247E-12,240.575E-12,220.095E-12,219.089E-12
1.81970,751.017E-12,301.318E-12,271.752E-12,223.992E-12,223.335E-12,365.503E-12,310.280E-12,243.337E-12,220.636E-12,220.184E-12,337.883E-12,306.990E-12,239.906E-12,219.318E-12,218.828E-12,355.291E-12,286.577E-12,238.913E-12,218.707E-12,218.087E-12,379.899E-12,281.152E-12,238.469E-12,218.339E-12,217.629E-12,380.445E-12,279.399E-12,238.221E-12,218.096E-12,217.322E-12,361.518E-12,278.656E-12,238.074E-12,217.930E-12,217.105E-12,349.268E-12,278.280E-12,237.969E-12,217.804E-12,216.946E-12,343.478E-12,278.067E-12,237.893E-12,217.709E-12,216.825E-12
1.86209,742.426E-12,297.899E-12,268.720E-12,221.570E-12,221.030E-12,361.335E-12,306.766E-12,240.629E-12,218.251E-12,217.914E-12,334.034E-12,303.517E-12,237.236E-12,216.947E-12,216.573E-12,351.243E-12,283.338E-12,236.254E-12,216.342E-12,215.840E-12,375.571E-12,277.975E-12,235.813E-12,215.977E-12,215.386E-12,376.112E-12,276.242E-12,235.568E-12,215.736E-12,215.082E-12,357.403E-12,275.506E-12,235.422E-12,215.571E-12,214.867E-12,345.292E-12,275.134E-12,235.317E-12,215.447E-12,214.710E-12,339.569E-12,274.923E-12,235.242E-12,215.352E-12,214.590E-12
1.90546,733.934E-12,294.520E-12,265.723E-12,219.178E-12,218.754E-12,357.214E-12,303.293E-12,237.952E-12,215.896E-12,215.673E-12,330.229E-12,300.085E-12,234.598E-12,214.605E-12,214.346E-12,347.243E-12,280.136E-12,233.626E-12,214.005E-12,213.621E-12,371.293E-12,274.834E-12,233.189E-12,213.644E-12,213.172E-12,371.829E-12,273.120E-12,232.946E-12,213.405E-12,212.871E-12,353.334E-12,272.393E-12,232.801E-12,213.241E-12,212.658E-12,341.363E-12,272.025E-12,232.697E-12,213.118E-12,212.502E-12,335.704E-12,271.816E-12,232.622E-12,213.024E-12,212.383E-12
1.94984,725.540E-12,291.180E-12,262.762E-12,216.815E-12,216.507E-12,353.141E-12,299.860E-12,235.308E-12,213.569E-12,213.461E-12,326.468E-12,296.692E-12,231.990E-12,212.291E-12,212.147E-12,343.288E-12,276.972E-12,231.028E-12,211.697E-12,211.430E-12,367.064E-12,271.730E-12,230.596E-12,211.339E-12,210.985E-12,367.595E-12,270.036E-12,230.355E-12,211.102E-12,210.687E-12,349.312E-12,269.316E-12,230.211E-12,210.939E-12,210.476E-12,337.478E-12,268.952E-12,230.108E-12,210.817E-12,210.321E-12,331.885E-12,268.745E-12,230.033E-12,210.724E-12,210.204E-12
1.99526,717.241E-12,287.878E-12,259.835E-12,214.481E-12,214.288E-12,349.115E-12,296.466E-12,232.694E-12,211.270E-12,211.276E-12,322.750E-12,293.338E-12,229.413E-12,210.006E-12,209.977E-12,339.378E-12,273.844E-12,228.462E-12,209.417E-12,209.267E-12,362.884E-12,268.662E-12,228.034E-12,209.062E-12,208.826E-12,363.410E-12,266.986E-12,227.795E-12,208.827E-12,208.531E-12,345.337E-12,266.275E-12,227.651E-12,208.665E-12,208.322E-12,333.638E-12,265.914E-12,227.549E-12,208.544E-12,208.169E-12,328.109E-12,265.710E-12,227.475E-12,208.451E-12,208.053E-12
2.04174,709.038E-12,284.615E-12,256.943E-12,212.174E-12,212.098E-12,345.135E-12,293.112E-12,230.111E-12,208.999E-12,209.119E-12,319.075E-12,290.024E-12,226.867E-12,207.748E-12,207.834E-12,335.514E-12,270.752E-12,225.925E-12,207.164E-12,207.131E-12,358.752E-12,265.630E-12,225.501E-12,206.813E-12,206.695E-12,359.273E-12,263.973E-12,225.264E-12,206.579E-12,206.402E-12,341.408E-12,263.269E-12,225.122E-12,206.419E-12,206.196E-12,329.843E-12,262.912E-12,225.020E-12,206.298E-12,206.044E-12,324.377E-12,262.709E-12,224.947E-12,206.207E-12,205.928E-12
2.08930,700.928E-12,281.389E-12,254.085E-12,209.896E-12,209.935E-12,341.201E-12,289.797E-12,227.559E-12,206.755E-12,206.989E-12,315.442E-12,286.748E-12,224.351E-12,205.517E-12,205.718E-12,331.694E-12,267.697E-12,223.419E-12,204.939E-12,205.022E-12,354.667E-12,262.632E-12,222.999E-12,204.590E-12,204.590E-12,355.183E-12,260.994E-12,222.764E-12,204.359E-12,204.301E-12,337.523E-12,260.298E-12,222.622E-12,204.200E-12,204.096E-12,326.091E-12,259.945E-12,222.521E-12,204.080E-12,203.945E-12,320.688E-12,259.744E-12,222.448E-12,203.989E-12,203.831E-12
2.13796,692.912E-12,278.201E-12,251.260E-12,207.646E-12,207.799E-12,337.312E-12,286.520E-12,225.037E-12,204.539E-12,204.887E-12,311.851E-12,283.510E-12,221.864E-12,203.314E-12,203.629E-12,327.918E-12,264.677E-12,220.942E-12,202.741E-12,202.940E-12,350.629E-12,259.670E-12,220.526E-12,202.395E-12,202.512E-12,351.141E-12,258.050E-12,220.293E-12,202.165E-12,202.226E-12,333.684E-12,257.361E-12,220.152E-12,202.008E-12,202.023E-12,322.383E-12,257.012E-12,220.052E-12,201.889E-12,201.874E-12,317.041E-12,256.813E-12,219.979E-12,201.798E-12,201.760E-12
2.18776,684.987E-12,275.049E-12,248.469E-12,205.423E-12,205.691E-12,333.467E-12,283.282E-12,222.545E-12,202.350E-12,202.811E-12,308.301E-12,280.309E-12,219.407E-12,201.137E-12,201.566E-12,324.185E-12,261.692E-12,218.494E-12,200.570E-12,200.885E-12,346.638E-12,256.742E-12,218.082E-12,200.227E-12,200.461E-12,347.145E-12,255.140E-12,217.851E-12,199.999E-12,200.177E-12,329.888E-12,254.459E-12,217.711E-12,199.842E-12,199.976E-12,318.717E-12,254.113E-12,217.612E-12,199.724E-12,199.828E-12,313.437E-12,253.916E-12,217.539E-12,199.634E-12,199.716E-12
2.23872,677.153E-12,271.934E-12,245.711E-12,203.227E-12,203.610E-12,329.667E-12,280.080E-12,220.082E-12,200.188E-12,200.762E-12,304.792E-12,277.146E-12,216.979E-12,198.987E-12,199.530E-12,320.496E-12,258.741E-12,216.075E-12,198.425E-12,198.856E-12,342.693E-12,253.848E-12,215.667E-12,198.085E-12,198.436E-12,343.195E-12,252.264E-12,215.438E-12,197.859E-12,198.155E-12,326.137E-12,251.590E-12,215.299E-12,197.703E-12,197.956E-12,315.094E-12,251.248E-12,215.200E-12,197.586E-12,197.809E-12,309.873E-12,251.053E-12,215.128E-12,197.496E-12,197.698E-12
2.29087,669.409E-12,268.855E-12,242.985E-12,201.057E-12,201.555E-12,325.911E-12,276.916E-12,217.648E-12,198.052E-12,198.739E-12,301.324E-12,274.019E-12,214.579E-12,196.863E-12,197.520E-12,316.849E-12,255.825E-12,213.685E-12,196.306E-12,196.852E-12,338.793E-12,250.987E-12,213.281E-12,195.969E-12,196.437E-12,339.291E-12,249.421E-12,213.053E-12,195.744E-12,196.159E-12,322.429E-12,248.755E-12,212.916E-12,195.590E-12,195.961E-12,311.512E-12,248.416E-12,212.817E-12,195.474E-12,195.816E-12,306.351E-12,248.222E-12,212.745E-12,195.385E-12,195.706E-12
