freq (Hz),leafValue( getData("out" ?result "noise") "b" 8 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 4 ) (A / sqrt(Hz))
7.58578E3,23.6074E-12,28.6142E-12,43.2543E-12,52.7884E-12,69.9625E-12,22.9305E-12,32.2957E-12,40.6032E-12,52.1208E-12,69.3674E-12,23.8532E-12,33.5307E-12,40.0336E-12,51.6973E-12,69.0151E-12,25.1480E-12,32.3707E-12,39.6996E-12,51.4042E-12,68.7838E-12,26.7927E-12,31.9167E-12,39.4478E-12,51.1862E-12,68.6214E-12,27.5254E-12,31.6599E-12,39.2457E-12,51.0180E-12,68.5017E-12,27.1360E-12,31.4677E-12,39.0793E-12,50.8850E-12,68.4102E-12,26.7515E-12,31.3080E-12,38.9393E-12,50.7768E-12,68.3382E-12,26.5106E-12,31.1700E-12,38.8203E-12,50.6875E-12,68.2803E-12
7.76247E3,23.5421E-12,28.6056E-12,43.2498E-12,52.7860E-12,69.9607E-12,22.9146E-12,32.2877E-12,40.5993E-12,52.1184E-12,69.3656E-12,23.8402E-12,33.5232E-12,40.0298E-12,51.6949E-12,69.0134E-12,25.1343E-12,32.3639E-12,39.6958E-12,51.4017E-12,68.7821E-12,26.7780E-12,31.9100E-12,39.4440E-12,51.1838E-12,68.6197E-12,27.5111E-12,31.6532E-12,39.2419E-12,51.0156E-12,68.5000E-12,27.1229E-12,31.4611E-12,39.0754E-12,50.8826E-12,68.4085E-12,26.7391E-12,31.3014E-12,38.9355E-12,50.7744E-12,68.3365E-12,26.4985E-12,31.1633E-12,38.8165E-12,50.6851E-12,68.2786E-12
7.94328E3,23.4781E-12,28.5972E-12,43.2453E-12,52.7836E-12,69.9590E-12,22.8991E-12,32.2798E-12,40.5955E-12,52.1160E-12,69.3640E-12,23.8275E-12,33.5157E-12,40.0260E-12,51.6925E-12,69.0117E-12,25.1210E-12,32.3572E-12,39.6921E-12,51.3994E-12,68.7805E-12,26.7637E-12,31.9035E-12,39.4402E-12,51.1814E-12,68.6180E-12,27.4971E-12,31.6467E-12,39.2381E-12,51.0133E-12,68.4983E-12,27.1101E-12,31.4546E-12,39.0716E-12,50.8802E-12,68.4068E-12,26.7270E-12,31.2949E-12,38.9317E-12,50.7720E-12,68.3348E-12,26.4867E-12,31.1567E-12,38.8127E-12,50.6827E-12,68.2769E-12
8.12831E3,23.4155E-12,28.5890E-12,43.2410E-12,52.7812E-12,69.9574E-12,22.8840E-12,32.2721E-12,40.5918E-12,52.1137E-12,69.3623E-12,23.8150E-12,33.5085E-12,40.0224E-12,51.6902E-12,69.0101E-12,25.1079E-12,32.3506E-12,39.6884E-12,51.3971E-12,68.7788E-12,26.7497E-12,31.8971E-12,39.4366E-12,51.1791E-12,68.6164E-12,27.4834E-12,31.6404E-12,39.2345E-12,51.0110E-12,68.4967E-12,27.0976E-12,31.4482E-12,39.0680E-12,50.8779E-12,68.4052E-12,26.7152E-12,31.2885E-12,38.9280E-12,50.7697E-12,68.3332E-12,26.4751E-12,31.1503E-12,38.8090E-12,50.6804E-12,68.2753E-12
8.31764E3,23.3541E-12,28.5810E-12,43.2368E-12,52.7790E-12,69.9557E-12,22.8691E-12,32.2646E-12,40.5882E-12,52.1115E-12,69.3607E-12,23.8029E-12,33.5014E-12,40.0188E-12,51.6880E-12,69.0085E-12,25.0952E-12,32.3443E-12,39.6849E-12,51.3949E-12,68.7772E-12,26.7360E-12,31.8909E-12,39.4330E-12,51.1769E-12,68.6148E-12,27.4701E-12,31.6342E-12,39.2309E-12,51.0087E-12,68.4951E-12,27.0854E-12,31.4420E-12,39.0644E-12,50.8757E-12,68.4036E-12,26.7036E-12,31.2823E-12,38.9244E-12,50.7675E-12,68.3316E-12,26.4638E-12,31.1441E-12,38.8054E-12,50.6782E-12,68.2737E-12
8.51138E3,23.2939E-12,28.5731E-12,43.2326E-12,52.7767E-12,69.9541E-12,22.8546E-12,32.2573E-12,40.5847E-12,52.1093E-12,69.3591E-12,23.7910E-12,33.4945E-12,40.0153E-12,51.6858E-12,69.0069E-12,25.0827E-12,32.3380E-12,39.6814E-12,51.3927E-12,68.7757E-12,26.7226E-12,31.8848E-12,39.4295E-12,51.1747E-12,68.6133E-12,27.4570E-12,31.6281E-12,39.2274E-12,51.0065E-12,68.4936E-12,27.0735E-12,31.4359E-12,39.0608E-12,50.8735E-12,68.4021E-12,26.6923E-12,31.2762E-12,38.9209E-12,50.7653E-12,68.3301E-12,26.4528E-12,31.1380E-12,38.8018E-12,50.6760E-12,68.2722E-12
8.70964E3,23.2349E-12,28.5655E-12,43.2286E-12,52.7745E-12,69.9525E-12,22.8405E-12,32.2501E-12,40.5812E-12,52.1071E-12,69.3576E-12,23.7794E-12,33.4877E-12,40.0119E-12,51.6836E-12,69.0054E-12,25.0705E-12,32.3319E-12,39.6780E-12,51.3905E-12,68.7742E-12,26.7095E-12,31.8789E-12,39.4261E-12,51.1725E-12,68.6118E-12,27.4443E-12,31.6222E-12,39.2239E-12,51.0044E-12,68.4921E-12,27.0618E-12,31.4300E-12,39.0574E-12,50.8713E-12,68.4006E-12,26.6812E-12,31.2702E-12,38.9174E-12,50.7631E-12,68.3286E-12,26.4420E-12,31.1320E-12,38.7984E-12,50.6738E-12,68.2707E-12
8.91251E3,23.1772E-12,28.5580E-12,43.2246E-12,52.7724E-12,69.9510E-12,22.8266E-12,32.2430E-12,40.5778E-12,52.1050E-12,69.3561E-12,23.7680E-12,33.4811E-12,40.0086E-12,51.6816E-12,69.0039E-12,25.0586E-12,32.3259E-12,39.6746E-12,51.3884E-12,68.7727E-12,26.6968E-12,31.8730E-12,39.4228E-12,51.1705E-12,68.6103E-12,27.4318E-12,31.6164E-12,39.2206E-12,51.0023E-12,68.4906E-12,27.0504E-12,31.4242E-12,39.0541E-12,50.8692E-12,68.3991E-12,26.6704E-12,31.2644E-12,38.9140E-12,50.7610E-12,68.3271E-12,26.4315E-12,31.1262E-12,38.7950E-12,50.6717E-12,68.2692E-12
9.12011E3,23.1206E-12,28.5507E-12,43.2207E-12,52.7703E-12,69.9495E-12,22.8130E-12,32.2362E-12,40.5745E-12,52.1030E-12,69.3546E-12,23.7569E-12,33.4746E-12,40.0053E-12,51.6795E-12,69.0024E-12,25.0469E-12,32.3201E-12,39.6714E-12,51.3864E-12,68.7712E-12,26.6843E-12,31.8673E-12,39.4195E-12,51.1684E-12,68.6088E-12,27.4196E-12,31.6107E-12,39.2173E-12,51.0002E-12,68.4892E-12,27.0392E-12,31.4185E-12,39.0508E-12,50.8672E-12,68.3976E-12,26.6599E-12,31.2587E-12,38.9108E-12,50.7590E-12,68.3256E-12,26.4211E-12,31.1205E-12,38.7917E-12,50.6697E-12,68.2678E-12
9.33254E3,23.0652E-12,28.5435E-12,43.2169E-12,52.7683E-12,69.9481E-12,22.7998E-12,32.2295E-12,40.5713E-12,52.1010E-12,69.3532E-12,23.7460E-12,33.4683E-12,40.0022E-12,51.6775E-12,69.0010E-12,25.0356E-12,32.3144E-12,39.6682E-12,51.3844E-12,68.7698E-12,26.6720E-12,31.8618E-12,39.4163E-12,51.1664E-12,68.6074E-12,27.4076E-12,31.6052E-12,39.2141E-12,50.9982E-12,68.4877E-12,27.0283E-12,31.4130E-12,39.0476E-12,50.8652E-12,68.3962E-12,26.6495E-12,31.2532E-12,38.9075E-12,50.7570E-12,68.3242E-12,26.4111E-12,31.1149E-12,38.7885E-12,50.6676E-12,68.2663E-12
