freq (Hz),leafValue( getData("out" ?result "noise") "N" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 3 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 6 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 7 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 9 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 10 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 11 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 12 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 13 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 14 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 15 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 17 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 18 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 19 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 20 ) (A / sqrt(Hz))
1.41254,3.85659E-9,1.70729E-9,954.165E-12,554.045E-12,278.572E-12,159.524E-12,104.800E-12,78.6157E-12,65.4940E-12,58.1172E-12,53.3552E-12,49.9513E-12,47.3566E-12,45.2948E-12,43.6088E-12,42.2003E-12,41.0039E-12,39.9737E-12,39.0764E-12,38.2873E-12
1.44544,3.81244E-9,1.68775E-9,943.261E-12,547.749E-12,275.461E-12,157.804E-12,103.732E-12,77.8682E-12,64.9142E-12,57.6360E-12,52.9401E-12,49.5851E-12,47.0284E-12,44.9974E-12,43.3369E-12,41.9499E-12,40.7719E-12,39.7576E-12,38.8743E-12,38.0975E-12
1.47911,3.76880E-9,1.66844E-9,932.483E-12,541.527E-12,272.386E-12,156.105E-12,102.677E-12,77.1308E-12,64.3425E-12,57.1618E-12,52.5314E-12,49.2245E-12,46.7054E-12,44.7048E-12,43.0695E-12,41.7038E-12,40.5439E-12,39.5454E-12,38.6758E-12,37.9112E-12
1.51356,3.72566E-9,1.64935E-9,921.828E-12,535.376E-12,269.347E-12,154.427E-12,101.636E-12,76.4034E-12,63.7789E-12,56.6946E-12,52.1288E-12,48.8696E-12,46.3876E-12,44.4170E-12,42.8065E-12,41.4618E-12,40.3199E-12,39.3369E-12,38.4809E-12,37.7282E-12
1.54882,3.68302E-9,1.63047E-9,911.295E-12,529.296E-12,266.344E-12,152.769E-12,100.608E-12,75.6857E-12,63.2232E-12,56.2342E-12,51.7324E-12,48.5203E-12,46.0750E-12,44.1340E-12,42.5480E-12,41.2240E-12,40.0997E-12,39.1320E-12,38.2894E-12,37.5484E-12
1.58489,3.64086E-9,1.61181E-9,900.883E-12,523.286E-12,263.376E-12,151.131E-12,99.5933E-12,74.9777E-12,62.6755E-12,55.7807E-12,51.3421E-12,48.1764E-12,45.7674E-12,43.8557E-12,42.2939E-12,40.9902E-12,39.8834E-12,38.9308E-12,38.1013E-12,37.3720E-12
1.62181,3.59918E-9,1.59337E-9,890.590E-12,517.346E-12,260.443E-12,149.514E-12,98.5915E-12,74.2793E-12,62.1356E-12,55.3339E-12,50.9577E-12,47.8380E-12,45.4648E-12,43.5819E-12,42.0440E-12,40.7605E-12,39.6709E-12,38.7331E-12,37.9166E-12,37.1987E-12
1.65959,3.55798E-9,1.57513E-9,880.416E-12,511.474E-12,257.544E-12,147.916E-12,97.6025E-12,73.5904E-12,61.6033E-12,54.8937E-12,50.5793E-12,47.5050E-12,45.1671E-12,43.3127E-12,41.7984E-12,40.5347E-12,39.4621E-12,38.5389E-12,37.7353E-12,37.0286E-12
1.69824,3.51726E-9,1.55711E-9,870.358E-12,505.670E-12,254.680E-12,146.337E-12,96.6263E-12,72.9109E-12,61.0787E-12,54.4602E-12,50.2067E-12,47.1773E-12,44.8743E-12,43.0481E-12,41.5570E-12,40.3129E-12,39.2570E-12,38.3483E-12,37.5572E-12,36.8616E-12
1.73780,3.47700E-9,1.53929E-9,860.415E-12,499.933E-12,251.849E-12,144.778E-12,95.6627E-12,72.2407E-12,60.5617E-12,54.0331E-12,49.8400E-12,46.8548E-12,44.5863E-12,42.7878E-12,41.3197E-12,40.0949E-12,39.0555E-12,38.1610E-12,37.3823E-12,36.6977E-12
1.77828,3.43720E-9,1.52168E-9,850.587E-12,494.262E-12,249.052E-12,143.238E-12,94.7116E-12,71.5797E-12,60.0521E-12,53.6125E-12,49.4789E-12,46.5376E-12,44.3030E-12,42.5320E-12,41.0865E-12,39.8808E-12,38.8576E-12,37.9771E-12,37.2107E-12,36.5368E-12
1.81970,3.39785E-9,1.50426E-9,840.871E-12,488.657E-12,246.287E-12,141.717E-12,93.7728E-12,70.9277E-12,59.5499E-12,53.1982E-12,49.1235E-12,46.2254E-12,44.0244E-12,42.2805E-12,40.8574E-12,39.6704E-12,38.6632E-12,37.7966E-12,37.0422E-12,36.3789E-12
1.86209,3.35896E-9,1.48705E-9,831.267E-12,483.116E-12,243.556E-12,140.214E-12,92.8461E-12,70.2848E-12,59.0551E-12,52.7903E-12,48.7737E-12,45.9183E-12,43.7505E-12,42.0332E-12,40.6321E-12,39.4637E-12,38.4723E-12,37.6193E-12,36.8768E-12,36.2239E-12
1.90546,3.32051E-9,1.47003E-9,821.773E-12,477.640E-12,240.856E-12,138.730E-12,91.9316E-12,69.6508E-12,58.5674E-12,52.3885E-12,48.4294E-12,45.6162E-12,43.4811E-12,41.7902E-12,40.4108E-12,39.2606E-12,38.2848E-12,37.4452E-12,36.7144E-12,36.0718E-12
1.94984,3.28250E-9,1.45321E-9,812.388E-12,472.227E-12,238.188E-12,137.265E-12,91.0290E-12,69.0256E-12,58.0869E-12,51.9929E-12,48.0906E-12,45.3190E-12,43.2162E-12,41.5513E-12,40.1934E-12,39.0612E-12,38.1007E-12,37.2743E-12,36.5550E-12,35.9226E-12
1.99526,3.24493E-9,1.43658E-9,803.110E-12,466.876E-12,235.552E-12,135.817E-12,90.1382E-12,68.4091E-12,57.6135E-12,51.6034E-12,47.7572E-12,45.0267E-12,42.9558E-12,41.3165E-12,39.9798E-12,38.8653E-12,37.9199E-12,37.1066E-12,36.3986E-12,35.7761E-12
2.04174,3.20779E-9,1.42014E-9,793.939E-12,461.587E-12,232.947E-12,134.387E-12,89.2591E-12,67.8012E-12,57.1470E-12,51.2198E-12,47.4291E-12,44.7391E-12,42.6998E-12,41.0858E-12,39.7699E-12,38.6729E-12,37.7424E-12,36.9419E-12,36.2451E-12,35.6324E-12
2.08930,3.17107E-9,1.40389E-9,784.873E-12,456.360E-12,230.373E-12,132.975E-12,88.3915E-12,67.2018E-12,56.6875E-12,50.8422E-12,47.1062E-12,44.4564E-12,42.4481E-12,40.8591E-12,39.5637E-12,38.4839E-12,37.5681E-12,36.7802E-12,36.0944E-12,35.4914E-12
