freq (Hz),leafValue( getData("out" ?result "noise") "N" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 3 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 6 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 7 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 9 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 10 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 11 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 12 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 13 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 14 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 15 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 17 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 18 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 19 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 20 ) (A / sqrt(Hz))
104.713,448.311E-12,200.120E-12,117.490E-12,79.7800E-12,53.7825E-12,42.4014E-12,36.4489E-12,33.3403E-12,31.8192E-12,31.0397E-12,30.5750E-12,30.2523E-12,30.0024E-12,29.7950E-12,29.6155E-12,29.4558E-12,29.3113E-12,29.1788E-12,29.0565E-12,28.9427E-12
107.152,443.188E-12,197.872E-12,116.296E-12,79.1914E-12,53.5658E-12,42.3145E-12,36.4076E-12,33.3166E-12,31.8031E-12,31.0275E-12,30.5653E-12,30.2442E-12,29.9954E-12,29.7890E-12,29.6101E-12,29.4510E-12,29.3069E-12,29.1748E-12,29.0528E-12,28.9393E-12
109.648,438.124E-12,195.650E-12,115.118E-12,78.6120E-12,53.3533E-12,42.2294E-12,36.3673E-12,33.2935E-12,31.7875E-12,31.0157E-12,30.5557E-12,30.2362E-12,29.9886E-12,29.7830E-12,29.6049E-12,29.4463E-12,29.3026E-12,29.1709E-12,29.0492E-12,28.9360E-12
112.202,433.118E-12,193.453E-12,113.954E-12,78.0416E-12,53.1448E-12,42.1461E-12,36.3278E-12,33.2709E-12,31.7721E-12,31.0041E-12,30.5464E-12,30.2285E-12,29.9820E-12,29.7772E-12,29.5997E-12,29.4417E-12,29.2985E-12,29.1671E-12,29.0457E-12,28.9328E-12
114.815,428.170E-12,191.283E-12,112.806E-12,77.4801E-12,52.9402E-12,42.0645E-12,36.2892E-12,33.2487E-12,31.7571E-12,30.9928E-12,30.5373E-12,30.2209E-12,29.9755E-12,29.7715E-12,29.5947E-12,29.4372E-12,29.2944E-12,29.1634E-12,29.0423E-12,28.9296E-12
117.490,423.278E-12,189.138E-12,111.672E-12,76.9275E-12,52.7395E-12,41.9846E-12,36.2514E-12,33.2271E-12,31.7425E-12,30.9818E-12,30.5285E-12,30.2135E-12,29.9691E-12,29.7660E-12,29.5898E-12,29.4327E-12,29.2904E-12,29.1598E-12,29.0390E-12,28.9265E-12
120.226,418.443E-12,187.017E-12,110.552E-12,76.3835E-12,52.5427E-12,41.9064E-12,36.2144E-12,33.2059E-12,31.7282E-12,30.9710E-12,30.5198E-12,30.2062E-12,29.9629E-12,29.7606E-12,29.5850E-12,29.4284E-12,29.2865E-12,29.1562E-12,29.0357E-12,28.9235E-12
123.027,413.662E-12,184.922E-12,109.447E-12,75.8482E-12,52.3496E-12,41.8298E-12,36.1783E-12,33.1852E-12,31.7142E-12,30.9604E-12,30.5113E-12,30.1991E-12,29.9568E-12,29.7553E-12,29.5803E-12,29.4242E-12,29.2827E-12,29.1528E-12,29.0325E-12,28.9206E-12
125.893,408.937E-12,182.851E-12,108.357E-12,75.3214E-12,52.1602E-12,41.7549E-12,36.1429E-12,33.1650E-12,31.7005E-12,30.9501E-12,30.5030E-12,30.1922E-12,29.9509E-12,29.7501E-12,29.5757E-12,29.4201E-12,29.2790E-12,29.1494E-12,29.0294E-12,28.9177E-12
128.825,404.266E-12,180.805E-12,107.280E-12,74.8030E-12,51.9744E-12,41.6815E-12,36.1083E-12,33.1452E-12,31.6871E-12,30.9400E-12,30.4949E-12,30.1854E-12,29.9451E-12,29.7450E-12,29.5712E-12,29.4161E-12,29.2753E-12,29.1461E-12,29.0264E-12,28.9149E-12
131.826,399.648E-12,178.782E-12,106.218E-12,74.2929E-12,51.7923E-12,41.6097E-12,36.0745E-12,33.1258E-12,31.6740E-12,30.9301E-12,30.4869E-12,30.1788E-12,29.9394E-12,29.7401E-12,29.5668E-12,29.4122E-12,29.2718E-12,29.1428E-12,29.0234E-12,28.9121E-12
134.896,395.084E-12,176.783E-12,105.169E-12,73.7910E-12,51.6137E-12,41.5393E-12,36.0414E-12,33.1069E-12,31.6612E-12,30.9204E-12,30.4792E-12,30.1723E-12,29.9339E-12,29.7352E-12,29.5625E-12,29.4083E-12,29.2683E-12,29.1397E-12,29.0205E-12,28.9094E-12
138.038,390.572E-12,174.807E-12,104.134E-12,73.2973E-12,51.4385E-12,41.4705E-12,36.0090E-12,33.0884E-12,31.6487E-12,30.9110E-12,30.4716E-12,30.1660E-12,29.9285E-12,29.7305E-12,29.5583E-12,29.4046E-12,29.2649E-12,29.1366E-12,29.0176E-12,28.9068E-12
141.254,386.111E-12,172.855E-12,103.113E-12,72.8115E-12,51.2667E-12,41.4031E-12,35.9773E-12,33.0703E-12,31.6365E-12,30.9018E-12,30.4642E-12,30.1598E-12,29.9232E-12,29.7259E-12,29.5542E-12,29.4009E-12,29.2616E-12,29.1335E-12,29.0149E-12,28.9042E-12
144.544,381.702E-12,170.925E-12,102.104E-12,72.3336E-12,51.0983E-12,41.3372E-12,35.9464E-12,33.0526E-12,31.6245E-12,30.8928E-12,30.4569E-12,30.1538E-12,29.9180E-12,29.7214E-12,29.5502E-12,29.3973E-12,29.2584E-12,29.1306E-12,29.0122E-12,28.9017E-12
147.911,377.343E-12,169.019E-12,101.110E-12,71.8636E-12,50.9332E-12,41.2726E-12,35.9161E-12,33.0353E-12,31.6128E-12,30.8840E-12,30.4499E-12,30.1478E-12,29.9129E-12,29.7169E-12,29.5463E-12,29.3938E-12,29.2552E-12,29.1277E-12,29.0095E-12,28.8993E-12
151.356,373.035E-12,167.134E-12,100.128E-12,71.4012E-12,50.7714E-12,41.2094E-12,35.8864E-12,33.0184E-12,31.6014E-12,30.8753E-12,30.4430E-12,30.1421E-12,29.9080E-12,29.7126E-12,29.5425E-12,29.3904E-12,29.2521E-12,29.1249E-12,29.0069E-12,28.8969E-12
154.882,368.775E-12,165.272E-12,99.1589E-12,70.9465E-12,50.6127E-12,41.1476E-12,35.8575E-12,33.0019E-12,31.5903E-12,30.8669E-12,30.4362E-12,30.1364E-12,29.9031E-12,29.7084E-12,29.5388E-12,29.3871E-12,29.2491E-12,29.1221E-12,29.0044E-12,28.8946E-12
158.489,364.565E-12,163.431E-12,98.2028E-12,70.4992E-12,50.4571E-12,41.0871E-12,35.8291E-12,32.9857E-12,31.5793E-12,30.8587E-12,30.4296E-12,30.1309E-12,29.8984E-12,29.7043E-12,29.5351E-12,29.3838E-12,29.2461E-12,29.1194E-12,29.0019E-12,28.8923E-12
162.181,360.403E-12,161.612E-12,97.2595E-12,70.0594E-12,50.3046E-12,41.0278E-12,35.8014E-12,32.9699E-12,31.5687E-12,30.8507E-12,30.4231E-12,30.1255E-12,29.8938E-12,29.7003E-12,29.5316E-12,29.3806E-12,29.2432E-12,29.1168E-12,28.9995E-12,28.8900E-12
165.959,356.289E-12,159.815E-12,96.3287E-12,69.6270E-12,50.1552E-12,40.9699E-12,35.7743E-12,32.9545E-12,31.5582E-12,30.8428E-12,30.4168E-12,30.1202E-12,29.8893E-12,29.6963E-12,29.5281E-12,29.3775E-12,29.2404E-12,29.1142E-12,28.9971E-12,28.8878E-12
169.824,352.222E-12,158.039E-12,95.4103E-12,69.2017E-12,50.0087E-12,40.9131E-12,35.7478E-12,32.9394E-12,31.5480E-12,30.8351E-12,30.4106E-12,30.1151E-12,29.8849E-12,29.6925E-12,29.5247E-12,29.3744E-12,29.2376E-12,29.1117E-12,28.9948E-12,28.8857E-12
173.780,348.202E-12,156.283E-12,94.5042E-12,68.7836E-12,49.8651E-12,40.8576E-12,35.7218E-12,32.9246E-12,31.5381E-12,30.8276E-12,30.4046E-12,30.1101E-12,29.8806E-12,29.6887E-12,29.5213E-12,29.3714E-12,29.2349E-12,29.1092E-12,28.9925E-12,28.8836E-12
177.828,344.227E-12,154.549E-12,93.6103E-12,68.3726E-12,49.7244E-12,40.8033E-12,35.6965E-12,32.9101E-12,31.5283E-12,30.8202E-12,30.3987E-12,30.1051E-12,29.8764E-12,29.6850E-12,29.5181E-12,29.3685E-12,29.2323E-12,29.1068E-12,28.9903E-12,28.8816E-12
181.970,340.299E-12,152.835E-12,92.7283E-12,67.9685E-12,49.5866E-12,40.7502E-12,35.6717E-12,32.8960E-12,31.5188E-12,30.8131E-12,30.3929E-12,30.1003E-12,29.8722E-12,29.6814E-12,29.5149E-12,29.3657E-12,29.2297E-12,29.1045E-12,28.9882E-12,28.8796E-12
186.209,336.415E-12,151.141E-12,91.8583E-12,67.5712E-12,49.4514E-12,40.6982E-12,35.6475E-12,32.8822E-12,31.5095E-12,30.8060E-12,30.3873E-12,30.0956E-12,29.8682E-12,29.6779E-12,29.5118E-12,29.3629E-12,29.2272E-12,29.1022E-12,28.9861E-12,28.8776E-12
190.546,332.577E-12,149.467E-12,91.0000E-12,67.1808E-12,49.3191E-12,40.6473E-12,35.6237E-12,32.8687E-12,31.5004E-12,30.7992E-12,30.3818E-12,30.0910E-12,29.8643E-12,29.6745E-12,29.5088E-12,29.3602E-12,29.2247E-12,29.0999E-12,28.9840E-12,28.8757E-12
194.984,328.782E-12,147.813E-12,90.1534E-12,66.7970E-12,49.1893E-12,40.5975E-12,35.6006E-12,32.8555E-12,31.4915E-12,30.7925E-12,30.3764E-12,30.0865E-12,29.8604E-12,29.6711E-12,29.5058E-12,29.3575E-12,29.2223E-12,29.0977E-12,28.9820E-12,28.8739E-12
199.526,325.031E-12,146.178E-12,89.3183E-12,66.4198E-12,49.0622E-12,40.5488E-12,35.5779E-12,32.8426E-12,31.4828E-12,30.7859E-12,30.3711E-12,30.0822E-12,29.8567E-12,29.6679E-12,29.5029E-12,29.3549E-12,29.2200E-12,29.0956E-12,28.9800E-12,28.8721E-12
204.174,321.323E-12,144.563E-12,88.4946E-12,66.0491E-12,48.9377E-12,40.5011E-12,35.5557E-12,32.8300E-12,31.4743E-12,30.7795E-12,30.3660E-12,30.0779E-12,29.8530E-12,29.6647E-12,29.5000E-12,29.3524E-12,29.2177E-12,29.0935E-12,28.9781E-12,28.8703E-12
208.930,317.657E-12,142.967E-12,87.6822E-12,65.6849E-12,48.8157E-12,40.4545E-12,35.5340E-12,32.8177E-12,31.4660E-12,30.7733E-12,30.3610E-12,30.0737E-12,29.8494E-12,29.6615E-12,29.4973E-12,29.3499E-12,29.2154E-12,29.0914E-12,28.9762E-12,28.8685E-12
213.796,314.034E-12,141.390E-12,86.8809E-12,65.3269E-12,48.6962E-12,40.4088E-12,35.5128E-12,32.8057E-12,31.4578E-12,30.7671E-12,30.3561E-12,30.0696E-12,29.8459E-12,29.6585E-12,29.4946E-12,29.3475E-12,29.2132E-12,29.0894E-12,28.9744E-12,28.8668E-12
218.776,310.452E-12,139.831E-12,86.0907E-12,64.9752E-12,48.5791E-12,40.3642E-12,35.4921E-12,32.7939E-12,31.4499E-12,30.7612E-12,30.3513E-12,30.0656E-12,29.8425E-12,29.6555E-12,29.4919E-12,29.3451E-12,29.2111E-12,29.0875E-12,28.9726E-12,28.8652E-12
223.872,306.911E-12,138.291E-12,85.3113E-12,64.6297E-12,48.4644E-12,40.3205E-12,35.4718E-12,32.7824E-12,31.4421E-12,30.7553E-12,30.3466E-12,30.0617E-12,29.8391E-12,29.6526E-12,29.4893E-12,29.3428E-12,29.2090E-12,29.0856E-12,28.9708E-12,28.8636E-12
229.087,303.411E-12,136.770E-12,84.5428E-12,64.2903E-12,48.3520E-12,40.2778E-12,35.4520E-12,32.7711E-12,31.4346E-12,30.7496E-12,30.3420E-12,30.0578E-12,29.8358E-12,29.6497E-12,29.4868E-12,29.3405E-12,29.2069E-12,29.0837E-12,28.9691E-12,28.8620E-12
234.423,299.952E-12,135.266E-12,83.7850E-12,63.9568E-12,48.2420E-12,40.2360E-12,35.4326E-12,32.7601E-12,31.4271E-12,30.7440E-12,30.3375E-12,30.0541E-12,29.8326E-12,29.6469E-12,29.4843E-12,29.3383E-12,29.2049E-12,29.0819E-12,28.9674E-12,28.8604E-12
239.883,296.532E-12,133.781E-12,83.0377E-12,63.6292E-12,48.1342E-12,40.1951E-12,35.4137E-12,32.7493E-12,31.4199E-12,30.7386E-12,30.3331E-12,30.0504E-12,29.8295E-12,29.6442E-12,29.4819E-12,29.3361E-12,29.2030E-12,29.0801E-12,28.9658E-12,28.8589E-12
245.471,293.151E-12,132.313E-12,82.3009E-12,63.3074E-12,48.0287E-12,40.1552E-12,35.3952E-12,32.7388E-12,31.4128E-12,30.7332E-12,30.3288E-12,30.0469E-12,29.8265E-12,29.6415E-12,29.4796E-12,29.3340E-12,29.2011E-12,29.0783E-12,28.9642E-12,28.8574E-12
251.189,289.809E-12,130.862E-12,81.5744E-12,62.9914E-12,47.9253E-12,40.1160E-12,35.3771E-12,32.7286E-12,31.4059E-12,30.7280E-12,30.3247E-12,30.0434E-12,29.8235E-12,29.6389E-12,29.4772E-12,29.3319E-12,29.1992E-12,29.0766E-12,28.9626E-12,28.8560E-12
257.040,286.506E-12,129.429E-12,80.8581E-12,62.6811E-12,47.8240E-12,40.0778E-12,35.3593E-12,32.7185E-12,31.3991E-12,30.7229E-12,30.3206E-12,30.0400E-12,29.8206E-12,29.6364E-12,29.4750E-12,29.3299E-12,29.1974E-12,29.0750E-12,28.9611E-12,28.8546E-12
263.027,283.240E-12,128.013E-12,80.1520E-12,62.3763E-12,47.7249E-12,40.0403E-12,35.3420E-12,32.7087E-12,31.3925E-12,30.7179E-12,30.3166E-12,30.0366E-12,29.8177E-12,29.6339E-12,29.4728E-12,29.3279E-12,29.1956E-12,29.0733E-12,28.9596E-12,28.8532E-12
269.153,280.012E-12,126.614E-12,79.4559E-12,62.0770E-12,47.6278E-12,40.0037E-12,35.3251E-12,32.6991E-12,31.3860E-12,30.7131E-12,30.3127E-12,30.0334E-12,29.8149E-12,29.6314E-12,29.4706E-12,29.3260E-12,29.1939E-12,29.0718E-12,28.9581E-12,28.8518E-12
275.423,276.822E-12,125.232E-12,78.7697E-12,61.7831E-12,47.5327E-12,39.9679E-12,35.3085E-12,32.6897E-12,31.3797E-12,30.7083E-12,30.3088E-12,30.0302E-12,29.8122E-12,29.6291E-12,29.4685E-12,29.3241E-12,29.1921E-12,29.0702E-12,28.9567E-12,28.8505E-12
281.838,273.668E-12,123.866E-12,78.0933E-12,61.4945E-12,47.4396E-12,39.9329E-12,35.2924E-12,32.6805E-12,31.3735E-12,30.7036E-12,30.3051E-12,30.0271E-12,29.8095E-12,29.6267E-12,29.4665E-12,29.3223E-12,29.1905E-12,29.0687E-12,28.9553E-12,28.8492E-12
288.403,270.550E-12,122.517E-12,77.4265E-12,61.2112E-12,47.3485E-12,39.8986E-12,35.2765E-12,32.6715E-12,31.3675E-12,30.6991E-12,30.3015E-12,30.0240E-12,29.8069E-12,29.6245E-12,29.4645E-12,29.3205E-12,29.1889E-12,29.0672E-12,28.9540E-12,28.8480E-12
295.121,267.468E-12,121.184E-12,76.7694E-12,60.9331E-12,47.2593E-12,39.8651E-12,35.2611E-12,32.6628E-12,31.3616E-12,30.6947E-12,30.2979E-12,30.0211E-12,29.8044E-12,29.6222E-12,29.4625E-12,29.3187E-12,29.1873E-12,29.0657E-12,28.9526E-12,28.8468E-12
301.995,264.421E-12,119.867E-12,76.1217E-12,60.6601E-12,47.1719E-12,39.8324E-12,35.2460E-12,32.6542E-12,31.3558E-12,30.6903E-12,30.2944E-12,30.0181E-12,29.8019E-12,29.6201E-12,29.4606E-12,29.3170E-12,29.1857E-12,29.0643E-12,28.9513E-12,28.8456E-12
309.030,261.410E-12,118.566E-12,75.4834E-12,60.3921E-12,47.0863E-12,39.8003E-12,35.2312E-12,32.6458E-12,31.3502E-12,30.6861E-12,30.2910E-12,30.0153E-12,29.7994E-12,29.6179E-12,29.4587E-12,29.3153E-12,29.1842E-12,29.0629E-12,28.9500E-12,28.8444E-12
316.228,258.433E-12,117.280E-12,74.8544E-12,60.1290E-12,47.0026E-12,39.7690E-12,35.2167E-12,32.6376E-12,31.3447E-12,30.6819E-12,30.2877E-12,30.0125E-12,29.7971E-12,29.6159E-12,29.4569E-12,29.3137E-12,29.1827E-12,29.0616E-12,28.9488E-12,28.8432E-12
323.594,255.491E-12,116.010E-12,74.2346E-12,59.8708E-12,46.9206E-12,39.7383E-12,35.2026E-12,32.6296E-12,31.3393E-12,30.6779E-12,30.2844E-12,30.0098E-12,29.7948E-12,29.6138E-12,29.4551E-12,29.3121E-12,29.1812E-12,29.0603E-12,28.9476E-12,28.8421E-12
331.131,252.582E-12,114.755E-12,73.6238E-12,59.6174E-12,46.8403E-12,39.7083E-12,35.1888E-12,32.6218E-12,31.3340E-12,30.6739E-12,30.2812E-12,30.0072E-12,29.7925E-12,29.6119E-12,29.4533E-12,29.3105E-12,29.1798E-12,29.0590E-12,28.9464E-12,28.8410E-12
338.844,249.707E-12,113.516E-12,73.0220E-12,59.3688E-12,46.7618E-12,39.6790E-12,35.1753E-12,32.6142E-12,31.3288E-12,30.6700E-12,30.2781E-12,30.0046E-12,29.7903E-12,29.6099E-12,29.4516E-12,29.3090E-12,29.1784E-12,29.0577E-12,28.9452E-12,28.8399E-12
346.737,246.865E-12,112.291E-12,72.4290E-12,59.1248E-12,46.6849E-12,39.6503E-12,35.1621E-12,32.6067E-12,31.3238E-12,30.6662E-12,30.2751E-12,30.0020E-12,29.7881E-12,29.6080E-12,29.4499E-12,29.3075E-12,29.1771E-12,29.0565E-12,28.9441E-12,28.8389E-12
354.813,244.055E-12,111.081E-12,71.8448E-12,58.8853E-12,46.6096E-12,39.6223E-12,35.1492E-12,32.5994E-12,31.3189E-12,30.6625E-12,30.2721E-12,29.9996E-12,29.7860E-12,29.6062E-12,29.4483E-12,29.3060E-12,29.1758E-12,29.0553E-12,28.9430E-12,28.8379E-12
363.078,241.278E-12,109.886E-12,71.2693E-12,58.6504E-12,46.5359E-12,39.5948E-12,35.1365E-12,32.5922E-12,31.3141E-12,30.6589E-12,30.2692E-12,29.9971E-12,29.7839E-12,29.6044E-12,29.4467E-12,29.3046E-12,29.1745E-12,29.0541E-12,28.9419E-12,28.8369E-12
371.535,238.533E-12,108.706E-12,70.7024E-12,58.4199E-12,46.4638E-12,39.5680E-12,35.1242E-12,32.5853E-12,31.3094E-12,30.6554E-12,30.2664E-12,29.9948E-12,29.7819E-12,29.6026E-12,29.4451E-12,29.3032E-12,29.1732E-12,29.0529E-12,28.9409E-12,28.8359E-12
380.189,235.820E-12,107.539E-12,70.1439E-12,58.1937E-12,46.3932E-12,39.5418E-12,35.1121E-12,32.5784E-12,31.3048E-12,30.6519E-12,30.2636E-12,29.9925E-12,29.7799E-12,29.6009E-12,29.4436E-12,29.3018E-12,29.1720E-12,29.0518E-12,28.9398E-12,28.8349E-12
389.045,233.138E-12,106.387E-12,69.5938E-12,57.9719E-12,46.3242E-12,39.5162E-12,35.1004E-12,32.5718E-12,31.3003E-12,30.6486E-12,30.2609E-12,29.9902E-12,29.7780E-12,29.5992E-12,29.4421E-12,29.3005E-12,29.1708E-12,29.0507E-12,28.9388E-12,28.8340E-12
398.107,230.486E-12,105.249E-12,69.0521E-12,57.7543E-12,46.2565E-12,39.4911E-12,35.0888E-12,32.5652E-12,31.2959E-12,30.6453E-12,30.2583E-12,29.9880E-12,29.7761E-12,29.5976E-12,29.4407E-12,29.2992E-12,29.1696E-12,29.0496E-12,28.9378E-12,28.8331E-12
407.380,227.866E-12,104.125E-12,68.5185E-12,57.5408E-12,46.1904E-12,39.4666E-12,35.0776E-12,32.5589E-12,31.2916E-12,30.6420E-12,30.2557E-12,29.9858E-12,29.7742E-12,29.5960E-12,29.4392E-12,29.2979E-12,29.1684E-12,29.0486E-12,28.9369E-12,28.8322E-12
416.869,225.275E-12,103.015E-12,67.9930E-12,57.3315E-12,46.1256E-12,39.4426E-12,35.0666E-12,32.5526E-12,31.2875E-12,30.6389E-12,30.2532E-12,29.9837E-12,29.7724E-12,29.5944E-12,29.4378E-12,29.2967E-12,29.1673E-12,29.0475E-12,28.9359E-12,28.8313E-12
426.580,222.714E-12,101.918E-12,67.4755E-12,57.1261E-12,46.0623E-12,39.4191E-12,35.0558E-12,32.5466E-12,31.2834E-12,30.6358E-12,30.2507E-12,29.9817E-12,29.7707E-12,29.5928E-12,29.4365E-12,29.2954E-12,29.1662E-12,29.0465E-12,28.9350E-12,28.8305E-12
436.516,220.183E-12,100.835E-12,66.9659E-12,56.9248E-12,46.0003E-12,39.3962E-12,35.0453E-12,32.5406E-12,31.2794E-12,30.6328E-12,30.2483E-12,29.9797E-12,29.7690E-12,29.5913E-12,29.4351E-12,29.2942E-12,29.1651E-12,29.0456E-12,28.9341E-12,28.8296E-12
446.684,217.681E-12,99.7646E-12,66.4642E-12,56.7273E-12,45.9396E-12,39.3738E-12,35.0350E-12,32.5348E-12,31.2754E-12,30.6298E-12,30.2459E-12,29.9777E-12,29.7673E-12,29.5899E-12,29.4339E-12,29.2931E-12,29.1641E-12,29.0446E-12,28.9332E-12,28.8288E-12
457.088,215.208E-12,98.7077E-12,65.9702E-12,56.5336E-12,45.8802E-12,39.3519E-12,35.0249E-12,32.5291E-12,31.2716E-12,30.6270E-12,30.2436E-12,29.9758E-12,29.7656E-12,29.5884E-12,29.4326E-12,29.2919E-12,29.1630E-12,29.0437E-12,28.9323E-12,28.8280E-12
467.735,212.764E-12,97.6638E-12,65.4838E-12,56.3437E-12,45.8221E-12,39.3304E-12,35.0151E-12,32.5235E-12,31.2679E-12,30.6242E-12,30.2413E-12,29.9739E-12,29.7640E-12,29.5870E-12,29.4313E-12,29.2908E-12,29.1620E-12,29.0427E-12,28.9315E-12,28.8272E-12
478.630,210.347E-12,96.6328E-12,65.0050E-12,56.1575E-12,45.7653E-12,39.3095E-12,35.0055E-12,32.5181E-12,31.2642E-12,30.6214E-12,30.2391E-12,29.9721E-12,29.7624E-12,29.5857E-12,29.4301E-12,29.2897E-12,29.1610E-12,29.0419E-12,28.9307E-12,28.8265E-12
489.779,207.959E-12,95.6145E-12,64.5337E-12,55.9750E-12,45.7097E-12,39.2890E-12,34.9961E-12,32.5128E-12,31.2607E-12,30.6187E-12,30.2370E-12,29.9703E-12,29.7609E-12,29.5843E-12,29.4289E-12,29.2887E-12,29.1601E-12,29.0410E-12,28.9299E-12,28.8257E-12
501.187,205.598E-12,94.6088E-12,64.0697E-12,55.7960E-12,45.6553E-12,39.2690E-12,34.9869E-12,32.5076E-12,31.2572E-12,30.6161E-12,30.2349E-12,29.9685E-12,29.7594E-12,29.5830E-12,29.4278E-12,29.2876E-12,29.1591E-12,29.0401E-12,28.9291E-12,28.8250E-12
512.861,203.264E-12,93.6156E-12,63.6130E-12,55.6206E-12,45.6020E-12,39.2494E-12,34.9779E-12,32.5025E-12,31.2538E-12,30.6135E-12,30.2328E-12,29.9668E-12,29.7579E-12,29.5817E-12,29.4266E-12,29.2866E-12,29.1582E-12,29.0393E-12,28.9283E-12,28.8243E-12
524.807,200.957E-12,92.6347E-12,63.1636E-12,55.4486E-12,45.5499E-12,39.2302E-12,34.9692E-12,32.4976E-12,31.2504E-12,30.6110E-12,30.2308E-12,29.9651E-12,29.7565E-12,29.5805E-12,29.4255E-12,29.2856E-12,29.1573E-12,29.0385E-12,28.9276E-12,28.8236E-12
537.032,198.677E-12,91.6659E-12,62.7212E-12,55.2800E-12,45.4990E-12,39.2115E-12,34.9606E-12,32.4927E-12,31.2472E-12,30.6086E-12,30.2289E-12,29.9635E-12,29.7551E-12,29.5793E-12,29.4245E-12,29.2847E-12,29.1565E-12,29.0377E-12,28.9268E-12,28.8229E-12
549.541,196.423E-12,90.7092E-12,62.2859E-12,55.1147E-12,45.4491E-12,39.1932E-12,34.9522E-12,32.4880E-12,31.2440E-12,30.6062E-12,30.2269E-12,29.9619E-12,29.7537E-12,29.5781E-12,29.4234E-12,29.2837E-12,29.1556E-12,29.0369E-12,28.9261E-12,28.8223E-12
562.341,194.196E-12,89.7645E-12,61.8575E-12,54.9527E-12,45.4003E-12,39.1753E-12,34.9440E-12,32.4834E-12,31.2409E-12,30.6039E-12,30.2251E-12,29.9603E-12,29.7524E-12,29.5769E-12,29.4224E-12,29.2828E-12,29.1548E-12,29.0361E-12,28.9254E-12,28.8216E-12
575.440,191.994E-12,88.8315E-12,61.4360E-12,54.7940E-12,45.3526E-12,39.1578E-12,34.9360E-12,32.4789E-12,31.2378E-12,30.6016E-12,30.2232E-12,29.9588E-12,29.7511E-12,29.5758E-12,29.4214E-12,29.2819E-12,29.1540E-12,29.0354E-12,28.9247E-12,28.8210E-12
588.844,189.817E-12,87.9103E-12,61.0213E-12,54.6384E-12,45.3060E-12,39.1407E-12,34.9282E-12,32.4744E-12,31.2349E-12,30.5993E-12,30.2214E-12,29.9573E-12,29.7498E-12,29.5747E-12,29.4204E-12,29.2810E-12,29.1532E-12,29.0347E-12,28.9241E-12,28.8204E-12
602.560,187.666E-12,87.0005E-12,60.6133E-12,54.4859E-12,45.2603E-12,39.1240E-12,34.9205E-12,32.4701E-12,31.2320E-12,30.5971E-12,30.2197E-12,29.9558E-12,29.7486E-12,29.5736E-12,29.4194E-12,29.2802E-12,29.1524E-12,29.0339E-12,28.9234E-12,28.8198E-12
616.595,185.539E-12,86.1022E-12,60.2119E-12,54.3365E-12,45.2156E-12,39.1076E-12,34.9131E-12,32.4659E-12,31.2291E-12,30.5950E-12,30.2180E-12,29.9544E-12,29.7473E-12,29.5725E-12,29.4185E-12,29.2793E-12,29.1516E-12,29.0332E-12,28.9228E-12,28.8192E-12
630.957,183.437E-12,85.2152E-12,59.8170E-12,54.1901E-12,45.1719E-12,39.0916E-12,34.9058E-12,32.4618E-12,31.2264E-12,30.5929E-12,30.2163E-12,29.9530E-12,29.7462E-12,29.5715E-12,29.4176E-12,29.2785E-12,29.1509E-12,29.0326E-12,28.9222E-12,28.8186E-12
645.654,181.359E-12,84.3394E-12,59.4286E-12,54.0466E-12,45.1292E-12,39.0760E-12,34.8986E-12,32.4577E-12,31.2237E-12,30.5909E-12,30.2147E-12,29.9517E-12,29.7450E-12,29.5704E-12,29.4167E-12,29.2777E-12,29.1501E-12,29.0319E-12,28.9216E-12,28.8181E-12
660.693,179.306E-12,83.4746E-12,59.0466E-12,53.9061E-12,45.0874E-12,39.0607E-12,34.8916E-12,32.4538E-12,31.2210E-12,30.5889E-12,30.2131E-12,29.9503E-12,29.7438E-12,29.5695E-12,29.4158E-12,29.2769E-12,29.1494E-12,29.0313E-12,28.9210E-12,28.8175E-12
