VBE ,beta VCE 0.6 N 1 ,beta VCE 0.6 N 2 ,beta VCE 0.6 N 3 ,beta VCE 0.6 N 4 ,beta VCE 0.6 N 5 ,beta VCE 0.6 N 6 ,beta VCE 0.6 N 7 ,beta VCE 0.6 N 8 ,beta VCE 0.6 N 9 ,beta VCE 0.6 N 10 ,beta VCE 0.65 N 1 ,beta VCE 0.65 N 2 ,beta VCE 0.65 N 3 ,beta VCE 0.65 N 4 ,beta VCE 0.65 N 5 ,beta VCE 0.65 N 6 ,beta VCE 0.65 N 7 ,beta VCE 0.65 N 8 ,beta VCE 0.65 N 9 ,beta VCE 0.65 N 10 ,beta VCE 0.7 N 1 ,beta VCE 0.7 N 2 ,beta VCE 0.7 N 3 ,beta VCE 0.7 N 4 ,beta VCE 0.7 N 5 ,beta VCE 0.7 N 6 ,beta VCE 0.7 N 7 ,beta VCE 0.7 N 8 ,beta VCE 0.7 N 9 ,beta VCE 0.7 N 10 ,beta VCE 0.75 N 1 ,beta VCE 0.75 N 2 ,beta VCE 0.75 N 3 ,beta VCE 0.75 N 4 ,beta VCE 0.75 N 5 ,beta VCE 0.75 N 6 ,beta VCE 0.75 N 7 ,beta VCE 0.75 N 8 ,beta VCE 0.75 N 9 ,beta VCE 0.75 N 10 ,beta VCE 0.8 N 1 ,beta VCE 0.8 N 2 ,beta VCE 0.8 N 3 ,beta VCE 0.8 N 4 ,beta VCE 0.8 N 5 ,beta VCE 0.8 N 6 ,beta VCE 0.8 N 7 ,beta VCE 0.8 N 8 ,beta VCE 0.8 N 9 ,beta VCE 0.8 N 10 
150.000E-3,-1.52101,-1.54246,-1.56436,-1.58674,-1.60960,-1.63296,-1.65684,-1.68125,-1.70622,-1.73176,-1.44592,-1.46357,-1.48155,-1.49985,-1.51849,-1.53748,-1.55683,-1.57654,-1.59664,-1.61712,-1.38974,-1.40472,-1.41993,-1.43538,-1.45108,-1.46704,-1.48325,-1.49974,-1.51649,-1.53353,-1.34614,-1.35912,-1.37229,-1.38564,-1.39918,-1.41292,-1.42685,-1.44099,-1.45533,-1.46988,-1.31131,-1.32276,-1.33436,-1.34610,-1.35799,-1.37004,-1.38224,-1.39460,-1.40712,-1.41980
155.000E-3,-1.55925,-1.58460,-1.61057,-1.63716,-1.66441,-1.69234,-1.72097,-1.75034,-1.78046,-1.81138,-1.47619,-1.49690,-1.51803,-1.53960,-1.56162,-1.58410,-1.60706,-1.63052,-1.65448,-1.67897,-1.41461,-1.43208,-1.44986,-1.46795,-1.48638,-1.50513,-1.52424,-1.54369,-1.56351,-1.58371,-1.36713,-1.38221,-1.39754,-1.41310,-1.42891,-1.44498,-1.46130,-1.47789,-1.49475,-1.51189,-1.32941,-1.34267,-1.35612,-1.36976,-1.38359,-1.39762,-1.41185,-1.42629,-1.44094,-1.45581
160.000E-3,-1.60071,-1.63078,-1.66167,-1.69341,-1.72603,-1.75958,-1.79410,-1.82963,-1.86620,-1.90388,-1.50867,-1.53304,-1.55796,-1.58347,-1.60957,-1.63629,-1.66366,-1.69169,-1.72041,-1.74985,-1.44109,-1.46153,-1.48236,-1.50362,-1.52531,-1.54744,-1.57002,-1.59308,-1.61663,-1.64067,-1.38936,-1.40693,-1.42481,-1.44300,-1.46151,-1.48036,-1.49954,-1.51908,-1.53898,-1.55925,-1.34849,-1.36389,-1.37952,-1.39540,-1.41153,-1.42792,-1.44458,-1.46150,-1.47870,-1.49619
165.000E-3,-1.64584,-1.68163,-1.71852,-1.75657,-1.79583,-1.83636,-1.87822,-1.92148,-1.96621,-2.01249,-1.54366,-1.57241,-1.60190,-1.63217,-1.66323,-1.69514,-1.72791,-1.76159,-1.79621,-1.83182,-1.46939,-1.49335,-1.51785,-1.54290,-1.56851,-1.59472,-1.62153,-1.64898,-1.67708,-1.70586,-1.41298,-1.43349,-1.45440,-1.47572,-1.49747,-1.51965,-1.54228,-1.56538,-1.58896,-1.61303,-1.36867,-1.38658,-1.40480,-1.42334,-1.44220,-1.46141,-1.48096,-1.50086,-1.52113,-1.54178
170.000E-3,-1.69518,-1.73794,-1.78220,-1.82803,-1.87553,-1.92479,-1.97591,-2.02899,-2.08414,-2.14150,-1.58147,-1.61550,-1.65052,-1.68658,-1.72372,-1.76199,-1.80145,-1.84215,-1.88415,-1.92751,-1.49973,-1.52791,-1.55679,-1.58640,-1.61678,-1.64793,-1.67991,-1.71274,-1.74645,-1.78109,-1.43813,-1.46214,-1.48667,-1.51174,-1.53737,-1.56358,-1.59038,-1.61780,-1.64587,-1.67459,-1.39006,-1.41094,-1.43223,-1.45394,-1.47608,-1.49865,-1.52168,-1.54519,-1.56917,-1.59365
175.000E-3,-1.74937,-1.80068,-1.85403,-1.90955,-1.96737,-2.02765,-2.09055,-2.15623,-2.22488,-2.29672,-1.62249,-1.66291,-1.70466,-1.74781,-1.79243,-1.83859,-1.88638,-1.93588,-1.98719,-2.04041,-1.53235,-1.56559,-1.59977,-1.63491,-1.67107,-1.70829,-1.74661,-1.78608,-1.82676,-1.86871,-1.46501,-1.49319,-1.52206,-1.55163,-1.58195,-1.61303,-1.64491,-1.67762,-1.71119,-1.74565,-1.41280,-1.43722,-1.46217,-1.48767,-1.51372,-1.54036,-1.56760,-1.59546,-1.62396,-1.65313
180.000E-3,-1.80920,-1.87104,-1.93569,-2.00335,-2.07423,-2.14857,-2.22664,-2.30871,-2.39510,-2.48617,-1.66718,-1.71538,-1.76536,-1.81724,-1.87113,-1.92714,-1.98540,-2.04605,-2.10924,-2.17513,-1.56757,-1.60691,-1.64750,-1.68937,-1.73261,-1.77728,-1.82345,-1.87120,-1.92060,-1.97176,-1.49384,-1.52701,-1.56109,-1.59611,-1.63211,-1.66913,-1.70722,-1.74643,-1.78680,-1.82839,-1.43706,-1.46570,-1.49503,-1.52507,-1.55585,-1.58740,-1.61975,-1.65292,-1.68696,-1.72189
185.000E-3,-1.87564,-1.95054,-2.02934,-2.11234,-2.19990,-2.29240,-2.39027,-2.49399,-2.60410,-2.72122,-1.71611,-1.77380,-1.83391,-1.89661,-1.96207,-2.03048,-2.10203,-2.17695,-2.25549,-2.33791,-1.60576,-1.65248,-1.70085,-1.75097,-1.80293,-1.85683,-1.91279,-1.97092,-2.03135,-2.09423,-1.52487,-1.56404,-1.60441,-1.64603,-1.68896,-1.73327,-1.77902,-1.82628,-1.87512,-1.92564,-1.46304,-1.49672,-1.53130,-1.56683,-1.60333,-1.64085,-1.67944,-1.71914,-1.76000,-1.80207
190.000E-3,-1.94986,-2.04108,-2.13774,-2.24034,-2.34945,-2.46571,-2.58984,-2.72267,-2.86516,-3.01838,-1.76995,-1.83929,-1.91194,-1.98815,-2.06819,-2.15235,-2.24096,-2.33438,-2.43302,-2.53732,-1.64734,-1.70302,-1.76093,-1.82119,-1.88396,-1.94938,-2.01765,-2.08894,-2.16346,-2.24144,-1.55841,-1.60482,-1.65282,-1.70249,-1.75392,-1.80721,-1.86245,-1.91976,-1.97926,-2.04107,-1.49097,-1.53070,-1.57161,-1.61378,-1.65724,-1.70207,-1.74833,-1.79608,-1.84541,-1.89639
195.000E-3,-2.03336,-2.14511,-2.26453,-2.39243,-2.52976,-2.67760,-2.83720,-3.01002,-3.19778,-3.40251,-1.82952,-1.91325,-2.00152,-2.09474,-2.19331,-2.29771,-2.40848,-2.52622,-2.65161,-2.78542,-1.69285,-1.75947,-1.82909,-1.90191,-1.97817,-2.05811,-2.14200,-2.23014,-2.32287,-2.42055,-1.59484,-1.65001,-1.70731,-1.76684,-1.82876,-1.89319,-1.96031,-2.03027,-2.10327,-2.17951,-1.52112,-1.56814,-1.61672,-1.66696,-1.71894,-1.77275,-1.82850,-1.88628,-1.94620,-2.00841
