VCE ,beta VBE 0.6 N 1 ,beta VBE 0.6 N 2 ,beta VBE 0.6 N 3 ,beta VBE 0.6 N 4 ,beta VBE 0.6 N 5 ,beta VBE 0.6 N 6 ,beta VBE 0.6 N 7 ,beta VBE 0.6 N 8 ,beta VBE 0.6 N 9 ,beta VBE 0.6 N 10 ,beta VBE 0.65 N 1 ,beta VBE 0.65 N 2 ,beta VBE 0.65 N 3 ,beta VBE 0.65 N 4 ,beta VBE 0.65 N 5 ,beta VBE 0.65 N 6 ,beta VBE 0.65 N 7 ,beta VBE 0.65 N 8 ,beta VBE 0.65 N 9 ,beta VBE 0.65 N 10 ,beta VBE 0.7 N 1 ,beta VBE 0.7 N 2 ,beta VBE 0.7 N 3 ,beta VBE 0.7 N 4 ,beta VBE 0.7 N 5 ,beta VBE 0.7 N 6 ,beta VBE 0.7 N 7 ,beta VBE 0.7 N 8 ,beta VBE 0.7 N 9 ,beta VBE 0.7 N 10 ,beta VBE 0.75 N 1 ,beta VBE 0.75 N 2 ,beta VBE 0.75 N 3 ,beta VBE 0.75 N 4 ,beta VBE 0.75 N 5 ,beta VBE 0.75 N 6 ,beta VBE 0.75 N 7 ,beta VBE 0.75 N 8 ,beta VBE 0.75 N 9 ,beta VBE 0.75 N 10 ,beta VBE 0.8 N 1 ,beta VBE 0.8 N 2 ,beta VBE 0.8 N 3 ,beta VBE 0.8 N 4 ,beta VBE 0.8 N 5 ,beta VBE 0.8 N 6 ,beta VBE 0.8 N 7 ,beta VBE 0.8 N 8 ,beta VBE 0.8 N 9 ,beta VBE 0.8 N 10 
180.000E-3,684.579,692.544,695.240,696.596,697.412,697.958,698.347,698.640,698.868,699.050,679.117,680.488,680.947,681.176,681.314,681.406,681.471,681.520,681.559,681.589,628.423,628.632,628.701,628.736,628.757,628.771,628.781,628.788,628.794,628.799,553.421,553.450,553.460,553.465,553.468,553.470,553.472,553.473,553.473,553.474,407.081,407.085,407.086,407.086,407.087,407.087,407.087,407.087,407.087,407.088
185.000E-3,692.242,700.346,703.089,704.469,705.299,705.854,706.251,706.549,706.781,706.966,687.430,688.829,689.296,689.530,689.671,689.765,689.832,689.882,689.921,689.952,636.485,636.698,636.769,636.804,636.826,636.840,636.850,636.858,636.864,636.868,560.978,561.008,561.018,561.023,561.026,561.028,561.030,561.031,561.032,561.032,414.616,414.620,414.621,414.622,414.622,414.623,414.623,414.623,414.623,414.623
190.000E-3,698.701,706.915,709.696,711.095,711.937,712.499,712.901,713.203,713.438,713.626,694.438,695.858,696.333,696.571,696.714,696.809,696.877,696.928,696.968,696.999,643.286,643.503,643.575,643.611,643.633,643.647,643.658,643.665,643.671,643.676,567.373,567.404,567.414,567.420,567.423,567.425,567.426,567.427,567.428,567.429,421.206,421.210,421.211,421.212,421.212,421.212,421.213,421.213,421.213,421.213
195.000E-3,704.130,712.430,715.240,716.653,717.504,718.072,718.479,718.784,719.021,719.211,700.323,701.761,702.242,702.483,702.627,702.724,702.792,702.844,702.884,702.916,649.002,649.222,649.295,649.332,649.354,649.369,649.379,649.387,649.393,649.398,572.766,572.797,572.807,572.813,572.816,572.818,572.819,572.821,572.821,572.822,426.966,426.970,426.971,426.972,426.972,426.972,426.972,426.973,426.973,426.973
200.000E-3,708.683,717.047,719.879,721.304,722.161,722.734,723.144,723.451,723.691,723.882,705.252,706.704,707.189,707.432,707.577,707.675,707.744,707.796,707.837,707.869,653.792,654.014,654.088,654.125,654.147,654.162,654.173,654.181,654.187,654.192,577.299,577.331,577.341,577.347,577.350,577.352,577.354,577.355,577.356,577.356,432.003,432.006,432.008,432.008,432.009,432.009,432.009,432.009,432.009,432.010
205.000E-3,712.494,720.906,723.754,725.186,726.049,726.625,727.037,727.346,727.587,727.779,709.369,710.831,711.319,711.564,711.711,711.809,711.879,711.931,711.972,712.005,657.795,658.019,658.093,658.130,658.153,658.168,658.178,658.186,658.193,658.198,581.102,581.134,581.144,581.150,581.153,581.155,581.157,581.158,581.159,581.159,436.413,436.417,436.419,436.419,436.420,436.420,436.420,436.420,436.420,436.420
210.000E-3,715.681,724.125,726.984,728.422,729.288,729.866,730.279,730.590,730.831,731.025,712.801,714.271,714.762,715.007,715.155,715.253,715.324,715.376,715.418,715.450,661.133,661.358,661.433,661.470,661.493,661.508,661.518,661.526,661.533,661.538,584.285,584.318,584.328,584.334,584.337,584.339,584.341,584.342,584.343,584.343,440.285,440.289,440.290,440.291,440.291,440.291,440.292,440.292,440.292,440.292
215.000E-3,718.345,726.808,729.674,731.115,731.983,732.562,732.977,733.288,733.530,733.724,715.658,717.133,717.625,717.872,718.020,718.119,718.189,718.242,718.283,718.316,663.911,664.137,664.212,664.250,664.273,664.288,664.299,664.307,664.313,664.318,586.947,586.980,586.991,586.996,586.999,587.001,587.003,587.004,587.005,587.006,443.693,443.697,443.699,443.699,443.700,443.700,443.700,443.700,443.701,443.701
220.000E-3,720.572,729.043,731.912,733.354,734.222,734.803,735.217,735.529,735.771,735.965,718.034,719.511,720.004,720.251,720.400,720.499,720.569,720.622,720.664,720.697,666.221,666.447,666.523,666.561,666.583,666.598,666.609,666.617,666.624,666.629,589.171,589.204,589.215,589.220,589.223,589.226,589.227,589.228,589.229,589.230,446.705,446.710,446.711,446.712,446.712,446.712,446.712,446.713,446.713,446.713
225.000E-3,722.433,730.904,733.772,735.215,736.083,736.663,737.077,737.389,737.631,737.825,720.006,721.485,721.979,722.226,722.374,722.473,722.544,722.597,722.638,722.671,668.138,668.365,668.441,668.479,668.502,668.517,668.528,668.536,668.542,668.547,591.028,591.061,591.072,591.077,591.081,591.083,591.084,591.086,591.086,591.087,449.378,449.382,449.384,449.384,449.385,449.385,449.385,449.385,449.385,449.386
230.000E-3,723.990,732.453,735.318,736.760,737.627,738.206,738.621,738.932,739.174,739.368,721.644,723.122,723.616,723.863,724.011,724.110,724.181,724.234,724.275,724.308,669.730,669.957,670.032,670.070,670.093,670.108,670.119,670.127,670.133,670.138,592.579,592.612,592.623,592.628,592.631,592.634,592.635,592.636,592.637,592.638,451.761,451.765,451.766,451.767,451.767,451.768,451.768,451.768,451.768,451.768
235.000E-3,725.294,733.743,736.604,738.042,738.908,739.487,739.900,740.211,740.453,740.646,723.002,724.479,724.972,725.219,725.367,725.466,725.537,725.590,725.631,725.664,671.049,671.276,671.351,671.389,671.412,671.427,671.438,671.446,671.452,671.457,593.874,593.907,593.918,593.923,593.927,593.929,593.930,593.932,593.933,593.933,453.895,453.899,453.901,453.901,453.902,453.902,453.902,453.902,453.903,453.903
240.000E-3,726.388,734.819,737.673,739.108,739.972,740.549,740.961,741.271,741.512,741.705,724.129,725.603,726.096,726.342,726.490,726.589,726.660,726.713,726.754,726.787,672.142,672.369,672.444,672.482,672.505,672.520,672.531,672.539,672.545,672.550,594.957,594.990,595.000,595.006,595.009,595.011,595.013,595.014,595.015,595.016,455.817,455.821,455.823,455.823,455.824,455.824,455.824,455.824,455.824,455.824
245.000E-3,727.309,735.716,738.562,739.993,740.854,741.430,741.841,742.150,742.391,742.583,725.064,726.535,727.026,727.272,727.420,727.519,727.589,727.642,727.683,727.716,673.048,673.274,673.350,673.387,673.410,673.425,673.436,673.444,673.450,673.455,595.862,595.895,595.906,595.911,595.915,595.917,595.918,595.920,595.921,595.921,457.556,457.560,457.562,457.562,457.563,457.563,457.563,457.563,457.564,457.564
250.000E-3,728.085,736.466,739.303,740.729,741.588,742.161,742.571,742.879,743.119,743.311,725.839,727.306,727.797,728.042,728.189,728.288,728.358,728.410,728.451,728.484,673.799,674.024,674.100,674.137,674.160,674.175,674.186,674.194,674.200,674.205,596.621,596.654,596.665,596.670,596.673,596.675,596.677,596.678,596.679,596.680,459.138,459.142,459.144,459.144,459.145,459.145,459.145,459.146,459.146,459.146
